,Uniprot Number,Subcellular Location
207,Q09013    ,Nuclear Membrane
208,Q09013    ,Integral Component Of Mitochondrial Outer Membrane
217,Q09013    ,Cell
225,Q15835    ,Photoreceptor Disc Membrane
226,Q15835    ,Cell Projection
227,Q15835    ,Membrane
229,Q15835    ,Photoreceptor Outer Segment
231,P25098    ,Membrane
233,P25098    ,Cytoplasm
234,P25098    ,Cilium
235,P25098    ,Plasma Membrane
241,P25098    ,Cytosol
243,P25098    ,Synapse
251,P35626    ,Plasma Membrane
254,P35626    ,Cytosol
256,P32298    ,Photoreceptor Disc Membrane
257,P32298    ,Neuronal Cell Body
258,P32298    ,Dendrite
259,P32298    ,Cytosol
260,P32298    ,Cytoplasm
262,P32298    ,Cell Cortex
264,P34947    ,Cytoplasm
265,P34947    ,Plasma Membrane
270,P34947    ,Nuclear Membrane
271,P34947    ,Nuclear Speck
273,P34947    ,Cytosol
274,P34947    ,Membrane
277,P34947    ,Nucleus
282,P43250    ,Membrane
283,P43250    ,Plasma Membrane
289,Q8WTQ7    ,Photoreceptor Disc Membrane
290,Q8WTQ7    ,Membrane
293,O95835    ,Cytoplasm
294,O95835    ,Cytoskeleton
295,O95835    ,Microtubule Organizing Center
296,O95835    ,Spindle Pole
298,O95835    ,Cytosol
308,Q9NRM7    ,Nucleus
309,Q9NRM7    ,Spindle Pole
312,Q9NRM7    ,Cytosol
322,Q9NRM7    ,Centriolar Satellite
324,Q9NRM7    ,Cytoplasm
325,Q9NRM7    ,Cytoskeleton
327,Q9NRM7    ,Microtubule Organizing Center
332,Q9Y2H9    ,Plasma Membrane
333,Q9Y2H9    ,Cytoskeleton
334,Q9Y2H9    ,Cytoplasm
335,Q9Y2H9    ,Membrane
336,Q9Y2H9    ,Cell Projection
338,Q9Y2H9    ,Axon
339,Q9Y2H9    ,Dendrite
341,Q9Y2H9    ,Neuronal Cell Body
342,Q9Y2H9    ,Neuron Projection
347,Q6P0Q8    ,Plasma Membrane
348,Q6P0Q8    ,Membrane
349,Q6P0Q8    ,Cytoplasm
350,Q6P0Q8    ,Cytoskeleton
353,Q6P0Q8    ,Microtubule Cytoskeleton
357,O15021    ,Cytoplasm
360,Q96GX5    ,Cleavage Furrow
362,Q96GX5    ,Centrosome
363,Q96GX5    ,Nucleus
366,Q96GX5    ,Nucleoplasm
370,Q96GX5    ,Cytoplasm
371,Q96GX5    ,Cytoskeleton
373,Q96GX5    ,Microtubule Organizing Center
376,O15530    ,Cell Projection
377,O15530    ,Plasma Membrane
379,O15530    ,Cytoplasm
409,O15530    ,Cytosol
414,O15530    ,Cell
415,O15530    ,Perikaryon
418,O15530    ,Cytoplasmic Vesicle
419,O15530    ,Postsynaptic Density
422,O15530    ,Cell Junction
424,O15530    ,Membrane
425,O15530    ,Nucleus
427,O15530    ,Focal Adhesion
431,Q6A1A2    ,Cytoplasm
432,Q6A1A2    ,Membrane
436,Q16512    ,Cleavage Furrow
437,Q16512    ,Midbody
438,Q16512    ,Endosome
439,Q16512    ,Cytoplasm
441,Q16512    ,Nucleus
442,Q16512    ,Cytosol
450,Q16512    ,Nucleoplasm
459,Q16512    ,Protein-Containing Complex
460,Q16512    ,Cytoplasmic Vesicle
465,Q16512    ,Plasma Membrane
471,Q16512    ,Membrane
474,Q16513    ,Perinuclear Region Of Cytoplasm
475,Q16513    ,Apical Junction Complex
476,Q16513    ,Cleavage Furrow
477,Q16513    ,Midbody
478,Q16513    ,Lamellipodium
479,Q16513    ,Cytoplasm
480,Q16513    ,Nucleus
481,Q16513    ,Cytosol
484,Q16513    ,Intermediate Filament Cytoskeleton
485,Q16513    ,Nuclear Body
486,Q16513    ,Plasma Membrane
488,Q16513    ,Centrosome
489,Q16513    ,Nucleoplasm
491,Q16513    ,Protein-Containing Complex
494,Q16513    ,Membrane
495,Q16513    ,Cell Projection
496,Q16513    ,Cytoskeleton
498,Q16513    ,Cell Junction
509,Q6P5Z2    ,Golgi Apparatus
510,Q6P5Z2    ,Nucleus
512,Q6P5Z2    ,Cytoplasm
514,Q6P5Z2    ,Perinuclear Region Of Cytoplasm
516,P17612    ,Cilium
517,P17612    ,Motile Cilium
518,P17612    ,Cell Projection
519,P17612    ,Cytoplasm
520,P17612    ,Cytoplasmic Vesicle
521,P17612    ,Plasma Membrane
522,P17612    ,Membrane
523,P17612    ,Nucleus
524,P17612    ,Mitochondrion
530,P17612    ,Acrosomal Vesicle
533,P17612    ,Nuclear Speck
536,P17612    ,Perinuclear Region Of Cytoplasm
537,P17612    ,Camp-Dependent Protein Kinase Complex
538,P17612    ,Axoneme
539,P17612    ,Plasma Membrane Raft
540,P17612    ,Extracellular Exosome
542,P17612    ,Calcium Channel Complex
545,P17612    ,Centrosome
547,P17612    ,Ciliary Base
549,P17612    ,Cytosol
583,P17612    ,Nucleoplasm
585,P17612    ,Intercellular Bridge
587,P17612    ,Cell
591,P17612    ,Dendritic Spine
592,P17612    ,Sperm Flagellum
593,P17612    ,Neuromuscular Junction
600,P17612    ,Nucleotide-Activated Protein Kinase Complex
602,P17612    ,Sperm Midpiece
604,P22694    ,Extracellular Exosome
605,P22694    ,Camp-Dependent Protein Kinase Complex
606,P22694    ,Centrosome
607,P22694    ,Nucleus
608,P22694    ,Ciliary Base
610,P22694    ,Cytosol
618,P22694    ,Nucleoplasm
620,P22694    ,Intercellular Bridge
622,P22694    ,Perinuclear Region Of Cytoplasm
625,P22694    ,Cytoplasm
628,P22694    ,Plasma Membrane
630,P22694    ,Membrane
637,P22612    ,Nucleus
638,P22612    ,Ciliary Base
640,P22612    ,Cytosol
648,P22612    ,Nucleoplasm
650,P22612    ,Intercellular Bridge
653,P17252    ,Extracellular Exosome
654,P17252    ,Mitochondrion
655,P17252    ,Endoplasmic Reticulum
656,P17252    ,Perinuclear Region Of Cytoplasm
657,P17252    ,Plasma Membrane
659,P17252    ,Cytosol
660,P17252    ,Cytoplasm
683,P17252    ,Nucleoplasm
689,P17252    ,Nucleus
691,P17252    ,Membrane
695,P17252    ,Mitochondrial Membrane
698,P05771    ,Extracellular Exosome
700,P05771    ,Plasma Membrane
701,P05771    ,Cytoplasm
702,P05771    ,Nucleus
710,P05771    ,Cytosol
718,P05771    ,Nucleoplasm
722,P05771    ,Cell
723,P05771    ,Presynaptic Cytosol
724,P05771    ,Calyx Of Held
725,P05771    ,Spectrin
730,P05771    ,Membrane
735,Q05655    ,Nucleus
736,Q05655    ,Perinuclear Region Of Cytoplasm
737,Q05655    ,Cytoplasm
740,Q05655    ,Extracellular Exosome
741,Q05655    ,Endoplasmic Reticulum
742,Q05655    ,Plasma Membrane
744,Q05655    ,Cytosol
752,Q05655    ,Azurophil Granule Lumen
768,Q05655    ,Nucleoplasm
769,Q05655    ,Extracellular Region
771,Q05655    ,Nuclear Matrix
772,Q05655    ,Membrane
773,Q05655    ,Cell-Cell Junction
782,Q02156    ,Cytoplasm
783,Q02156    ,Cytoskeleton
784,Q02156    ,Nucleus
785,Q02156    ,Perinuclear Region Of Cytoplasm
786,Q02156    ,Plasma Membrane
787,Q02156    ,Endoplasmic Reticulum
788,Q02156    ,Cell Periphery
792,Q02156    ,Cytosol
793,Q02156    ,Golgi Apparatus
800,Q02156    ,Membrane
803,Q02156    ,Mitochondrion
812,P05129    ,Cell Projection
813,P05129    ,Synapse
814,P05129    ,Cytoplasm
815,P05129    ,Cell Junction
816,P05129    ,Plasma Membrane
817,P05129    ,Membrane
818,P05129    ,Neuron Projection
821,P05129    ,Dendrite
822,P05129    ,Perinuclear Region Of Cytoplasm
827,P05129    ,Cytosol
834,P05129    ,Postsynaptic Cytosol
840,P05129    ,Presynaptic Cytosol
841,P05129    ,Synaptic Membrane
842,P05129    ,Calyx Of Held
844,P05129    ,Postsynaptic Density
845,P05129    ,Cell-Cell Junction
848,P05129    ,Nucleus
850,P24723    ,Cytoplasm
852,P24723    ,Extracellular Exosome
853,P24723    ,Plasma Membrane
854,P24723    ,Cytosol
858,P41743    ,Extracellular Exosome
859,P41743    ,Cytosol
861,P41743    ,Nucleus
863,P41743    ,Plasma Membrane
866,P41743    ,Nucleoplasm
867,P41743    ,Intercellular Bridge
868,P41743    ,Microtubule Cytoskeleton
870,P41743    ,Golgi Membrane
871,P41743    ,Glutamatergic Synapse
872,P41743    ,Cell Leading Edge
873,P41743    ,Bicellular Tight Junction
876,P41743    ,Apical Part Of Cell
877,P41743    ,Schmidt-Lanterman Incisure
878,P41743    ,Apical Plasma Membrane
879,P41743    ,Cytoplasm
883,P41743    ,Endosome
884,P41743    ,Membrane
890,Q04759    ,Plasma Membrane
906,Q04759    ,Cytosol
910,Q04759    ,Centriolar Satellite
911,Q04759    ,Aggresome
913,Q04759    ,Cytoplasm
914,Q04759    ,Immunological Synapse
915,Q04759    ,Membrane
921,Q05513    ,Vesicle
922,Q05513    ,Extracellular Exosome
923,Q05513    ,Membrane
924,Q05513    ,Plasma Membrane
925,Q05513    ,Cytoplasm
926,Q05513    ,Cell-Cell Junction
927,Q05513    ,Cell Junction
933,Q05513    ,Cytosol
940,Q05513    ,Cell
941,Q05513    ,Glutamatergic Synapse
942,Q05513    ,Perinuclear Region Of Cytoplasm
943,Q05513    ,Membrane Raft
944,Q05513    ,Intracellular Membrane-Bounded Organelle
945,Q05513    ,Cell Leading Edge
946,Q05513    ,Postsynaptic Density
950,Q05513    ,Stress Fiber
951,Q05513    ,Apical Cortex
952,Q05513    ,Axon Hillock
953,Q05513    ,Myelin Sheath Abaxonal Region
955,Q05513    ,Nuclear Matrix
956,Q05513    ,Apical Plasma Membrane
957,Q05513    ,Cell Cortex
958,Q05513    ,Bicellular Tight Junction
960,Q05513    ,Microtubule Organizing Center
962,Q05513    ,Nuclear Envelope
963,Q05513    ,Nucleus
965,Q05513    ,Endosome
973,Q13976    ,Cytoplasm
975,Q13976    ,Plasma Membrane
977,Q13976    ,Cytosol
980,Q13976    ,Golgi Apparatus
983,Q13237    ,Cytosol
986,Q13237    ,Nuclear Membrane
987,Q13237    ,Membrane
989,Q13237    ,Plasma Membrane
990,Q13237    ,Apical Plasma Membrane
992,P51817    ,Cytoplasm
994,P51817    ,Nucleus
997,P51817    ,Camp-Dependent Protein Kinase Complex
998,P51817    ,Nucleoplasm
1004,O43930    ,Camp-Dependent Protein Kinase Complex
1006,Q13464    ,Amyloid-Beta Complex
1007,Q13464    ,Cytoplasmic Stress Granule
1008,Q13464    ,Lamellipodium
1009,Q13464    ,Plasma Membrane
1010,Q13464    ,Cytoskeleton
1011,Q13464    ,Ruffle
1014,Q13464    ,Cytoplasm
1015,Q13464    ,Secretory Granule Lumen
1016,Q13464    ,Cytosol
1023,Q13464    ,Extracellular Region
1029,Q13464    ,Golgi Apparatus
1031,Q13464    ,Cell Projection
1034,Q13464    ,Membrane
1036,Q13464    ,Bleb
1037,Q13464    ,Golgi Membrane
1039,Q13464    ,Centriole
1044,O75116    ,Cytoplasm
1045,O75116    ,Nucleus
1046,O75116    ,Cytoskeleton
1047,O75116    ,Membrane
1048,O75116    ,Plasma Membrane
1049,O75116    ,Microtubule Organizing Center
1053,O75116    ,Cytoplasmic Ribonucleoprotein Granule
1054,O75116    ,Centrosome
1058,O75116    ,Cytosol
1065,Q15418    ,Nucleus
1066,Q15418    ,Cytoplasm
1069,Q15418    ,Cytosol
1070,Q15418    ,Nucleoplasm
1080,Q15349    ,Nucleus
1081,Q15349    ,Cytoplasm
1085,Q15349    ,Cytosol
1086,Q15349    ,Nucleoplasm
1096,P51812    ,Cytoplasm
1098,P51812    ,Nucleus
1101,P51812    ,Cytosol
1102,P51812    ,Nucleoplasm
1109,O75676    ,Nucleus
1111,O75676    ,Cytoplasm
1113,O75676    ,Cytosol
1114,O75676    ,Nucleoplasm
1118,O75582    ,Cytoplasm
1119,O75582    ,Nucleus
1124,O75582    ,Nucleoplasm
1136,Q9UK32    ,Cytoplasm
1137,Q9UK32    ,Nucleus
1138,Q9UK32    ,Mitochondrion
1139,Q9UK32    ,Nucleolus
1140,Q9UK32    ,Nucleoplasm
1141,Q9UK32    ,Fibrillar Center
1144,Q9UK32    ,Cytosol
1147,P23443    ,Cytoplasm
1148,P23443    ,Neuron Projection
1149,P23443    ,Mitochondrion
1150,P23443    ,Nucleus
1151,P23443    ,Mitochondrial Outer Membrane
1152,P23443    ,Membrane
1153,P23443    ,Synapse
1154,P23443    ,Cell Junction
1163,P23443    ,Cytosol
1168,P23443    ,Nucleoplasm
1173,Q9UBS0    ,Cytoplasm
1175,Q9UBS0    ,Nucleus
1178,Q9UBS0    ,Nucleoplasm
1182,O00141    ,Cytoplasm
1183,O00141    ,Nucleus
1184,O00141    ,Cytosol
1188,O00141    ,Nuclear Speck
1190,O00141    ,Membrane
1192,O00141    ,Mitochondrion
1194,O00141    ,Endoplasmic Reticulum
1195,O00141    ,Plasma Membrane
1197,O00141    ,Endoplasmic Reticulum Membrane
1202,Q9HBY8    ,Cytosol
1203,Q9HBY8    ,Nucleoplasm
1204,Q9HBY8    ,Cytoplasm
1205,Q9HBY8    ,Nucleus
1209,Q96BR1    ,Cytosol
1210,Q96BR1    ,Intracellular Membrane-Bounded Organelle
1211,Q96BR1    ,Nucleoplasm
1212,Q96BR1    ,Cytoplasmic Vesicle
1213,Q96BR1    ,Endosome
1215,Q96BR1    ,Recycling Endosome
1216,Q96BR1    ,Early Endosome
1218,Q15208    ,Nucleus
1219,Q15208    ,Cytoplasm
1226,Q15208    ,Cytosol
1228,Q9Y2H1    ,Actin Cytoskeleton
1229,Q9Y2H1    ,Cytoplasm
1230,Q9Y2H1    ,Cytosol
1234,Q9Y2H1    ,Membrane
1235,Q9Y2H1    ,Cytoskeleton
1240,Q8TDC3    ,Presynaptic Active Zone
1241,Q8TDC3    ,Synaptic Vesicle
1242,Q8TDC3    ,Distal Axon
1246,Q8TDC3    ,Centrosome
1247,Q8TDC3    ,Cytoplasm
1248,Q8TDC3    ,Nucleus
1252,Q8TDC3    ,Cell Junction
1253,Q8TDC3    ,Nucleoplasm
1257,Q8TDC3    ,Cytoplasmic Vesicle
1260,Q8TDC3    ,Cell Projection
1262,Q8TDC3    ,Synapse
1263,Q8TDC3    ,Cytoskeleton
1265,Q8TDC3    ,Microtubule Organizing Center
1271,Q8IWQ3    ,Distal Axon
1272,Q8IWQ3    ,Cytoplasm
1273,Q8IWQ3    ,Endoplasmic Reticulum
1274,Q8IWQ3    ,Centrosome
1278,Q8IWQ3    ,Nucleus
1281,Q8IWQ3    ,Cytoskeleton
1283,Q8IWQ3    ,Perinuclear Region Of Cytoplasm
1284,Q8IWQ3    ,Microtubule Organizing Center
1286,Q14012    ,Nucleus
1287,Q14012    ,Cytoplasm
1288,Q14012    ,Cytosol
1290,Q14012    ,Glutamatergic Synapse
1291,Q14012    ,Postsynaptic Density
1295,Q8IU85    ,Nucleus
1296,Q8IU85    ,Cytoplasm
1303,Q96NX5    ,Neuron Projection
1304,Q96NX5    ,Cytoplasm
1305,Q96NX5    ,Endomembrane System
1306,Q96NX5    ,Plasma Membrane
1307,Q96NX5    ,Membrane
1310,Q96NX5    ,Golgi Apparatus
1311,Q96NX5    ,Golgi Membrane
1315,Q9UQM7    ,Mitochondrion
1316,Q9UQM7    ,Nucleus
1317,Q9UQM7    ,Dendritic Spine
1318,Q9UQM7    ,Neuron Projection
1319,Q9UQM7    ,Cytoplasm
1320,Q9UQM7    ,Endocytic Vesicle Membrane
1321,Q9UQM7    ,Cytosol
1327,Q9UQM7    ,Nucleoplasm
1328,Q9UQM7    ,Cell Projection
1329,Q9UQM7    ,Synapse
1330,Q9UQM7    ,Cell Junction
1333,Q9UQM7    ,Dendrite
1334,Q9UQM7    ,Postsynaptic Density
1336,Q13554    ,Neuron Projection
1337,Q13554    ,Cytoplasm
1338,Q13554    ,Endocytic Vesicle Membrane
1339,Q13554    ,Cytosol
1340,Q13554    ,Nucleoplasm
1341,Q13554    ,Synapse
1343,Q13554    ,Membrane
1344,Q13554    ,Cytoskeleton
1345,Q13554    ,Cell Junction
1346,Q13554    ,Sarcoplasmic Reticulum
1348,Q13554    ,Sarcoplasmic Reticulum Membrane
1349,Q13554    ,Microtubule Organizing Center
1352,Q13557    ,Membrane
1353,Q13557    ,Cytoplasm
1354,Q13557    ,Nucleus
1355,Q13557    ,Neuron Projection
1357,Q13557    ,Endocytic Vesicle Membrane
1358,Q13557    ,Cytosol
1359,Q13557    ,Nucleoplasm
1360,Q13557    ,Sarcoplasmic Reticulum
1362,Q13557    ,Plasma Membrane
1363,Q13557    ,Sarcoplasmic Reticulum Membrane
1364,Q13557    ,Sarcolemma
1366,Q13555    ,Membrane
1367,Q13555    ,Neuron Projection
1368,Q13555    ,Cytoplasm
1369,Q13555    ,Endocytic Vesicle Membrane
1370,Q13555    ,Cytosol
1371,Q13555    ,Nucleoplasm
1372,Q13555    ,Sarcoplasmic Reticulum Membrane
1373,Q13555    ,Sarcoplasmic Reticulum
1376,Q16566    ,Extracellular Exosome
1377,Q16566    ,Cytoplasm
1378,Q16566    ,Nucleus
1379,Q16566    ,Nucleoplasm
1382,Q16566    ,Fibrillar Center
1383,Q16566    ,Glutamatergic Synapse
1384,Q16566    ,Postsynapse
1390,Q8NCB2    ,Glutamatergic Synapse
1391,Q8NCB2    ,Membrane
1392,Q8NCB2    ,Cytoplasmic Vesicle Membrane
1393,Q8NCB2    ,Plasma Membrane
1394,Q8NCB2    ,Cytoplasmic Vesicle
1397,O14936    ,Nuclear Lamina
1398,O14936    ,Nucleolus
1399,O14936    ,Basement Membrane
1400,O14936    ,Focal Adhesion
1401,O14936    ,Actin Cytoskeleton
1402,O14936    ,Plasma Membrane
1403,O14936    ,Ciliary Membrane
1404,O14936    ,Presynaptic Membrane
1405,O14936    ,Nuclear Matrix
1406,O14936    ,Cell-Cell Junction
1407,O14936    ,Cytoplasm
1411,O14936    ,Cytosol
1414,O14936    ,Synapse
1415,O14936    ,Vesicle
1416,O14936    ,Basolateral Plasma Membrane
1417,O14936    ,Membrane
1421,O14936    ,Nucleus
1431,O14757    ,Protein-Containing Complex
1432,O14757    ,Cytoplasm
1433,O14757    ,Nucleus
1434,O14757    ,Extracellular Space
1435,O14757    ,Chromosome
1436,O14757    ,Telomeric Region
1437,O14757    ,Centrosome
1440,O14757    ,Condensed Nuclear Chromosome
1441,O14757    ,Chromatin
1444,O14757    ,Cytosol
1445,O14757    ,Nucleoplasm
1454,O14757    ,Intracellular Membrane-Bounded Organelle
1458,O14757    ,Cytoskeleton
1461,O14757    ,Microtubule Organizing Center
1463,O96017    ,Chromosome
1464,O96017    ,Telomeric Region
1465,O96017    ,Pml Body
1466,O96017    ,Cytoplasm
1467,O96017    ,Nucleus
1468,O96017    ,Nucleoplasm
1478,O96017    ,Golgi Apparatus
1486,P53355    ,Plasma Membrane
1487,P53355    ,Cytoplasm
1488,P53355    ,Actin Cytoskeleton
1489,P53355    ,Nucleus
1491,P53355    ,Cytoskeleton
1496,Q9UIK4    ,Cytoplasm
1499,Q9UIK4    ,Nucleus
1500,Q9UIK4    ,Intracellular Membrane-Bounded Organelle
1501,Q9UIK4    ,Golgi Apparatus
1503,Q9UIK4    ,Cytoplasmic Vesicle
1504,Q9UIK4    ,Autophagosome Lumen
1507,O43293    ,Pml Body
1508,O43293    ,Nucleus
1509,O43293    ,Membrane Raft
1510,O43293    ,Actin Filament
1511,O43293    ,Cytoplasm
1521,O43293    ,Nucleoplasm
1523,O15075    ,Integral Component Of Plasma Membrane
1524,O15075    ,Postsynaptic Density
1526,Q8N568    ,Microtubule
1527,Q8N568    ,Cytoplasm
1528,Q8N568    ,Cytoskeleton
1531,Q9C098    ,Cytoplasm
1532,Q9C098    ,Nucleus
1540,P57058    ,Cytoplasm
1541,P57058    ,Nucleus
1543,O60229    ,Extracellular Exosome
1544,O60229    ,Actin Cytoskeleton
1545,O60229    ,Cytosol
1555,O60229    ,Nucleoplasm
1556,O60229    ,Cytoplasm
1557,O60229    ,Cytoskeleton
1561,P49137    ,Extracellular Exosome
1562,P49137    ,Nucleus
1563,P49137    ,Cytoplasm
1567,P49137    ,Cytosol
1574,P49137    ,Nucleoplasm
1578,P49137    ,Centrosome
1587,Q16644    ,Nucleus
1588,Q16644    ,Cytoplasm
1590,Q16644    ,Cytosol
1593,Q16644    ,Nucleoplasm
1603,Q8IW41    ,Nucleus
1604,Q8IW41    ,Cytoplasm
1609,Q8IW41    ,Cytosol
1619,Q8IW41    ,Nucleoplasm
1632,Q9P0L2    ,Plasma Membrane
1633,Q9P0L2    ,Membrane
1634,Q9P0L2    ,Cell Projection
1635,Q9P0L2    ,Cytoskeleton
1636,Q9P0L2    ,Cytoplasm
1639,Q9P0L2    ,Dendrite
1643,Q9P0L2    ,Microtubule Cytoskeleton
1649,Q7KZI7    ,Mitochondrion
1650,Q7KZI7    ,Microtubule Bundle
1651,Q7KZI7    ,Lateral Plasma Membrane
1652,Q7KZI7    ,Membrane
1653,Q7KZI7    ,Plasma Membrane
1654,Q7KZI7    ,Actin Filament
1655,Q7KZI7    ,Cytoplasm
1657,Q7KZI7    ,Nucleoplasm
1659,Q7KZI7    ,Cytoskeleton
1662,Q7KZI7    ,Cell Projection
1667,Q7KZI7    ,Dendrite
1671,P27448    ,Cytoplasm
1673,P27448    ,Dendrite
1674,P27448    ,Extracellular Exosome
1675,P27448    ,Plasma Membrane
1678,P27448    ,Cytosol
1710,P27448    ,Cell Projection
1712,P27448    ,Membrane
1717,Q96L34    ,Ciliary Basal Body
1718,Q96L34    ,Cytoplasm
1719,Q96L34    ,Dendrite
1720,Q96L34    ,Gamma-Tubulin Complex
1721,Q96L34    ,Midbody
1722,Q96L34    ,Centrosome
1723,Q96L34    ,Neuron Projection
1724,Q96L34    ,Microtubule Cytoskeleton
1725,Q96L34    ,Microtubule Organizing Center
1728,Q96L34    ,Cytosol
1734,Q96L34    ,Cytoskeleton
1735,Q96L34    ,Cell Projection
1742,Q14680    ,Membrane
1743,Q14680    ,Plasma Membrane
1746,Q14680    ,Cell Cortex
1748,Q14680    ,Cytoplasm
1749,Q14680    ,Nucleus
1752,Q9BUB5    ,Cytoplasm
1753,Q9BUB5    ,Nucleus
1754,Q9BUB5    ,Cytosol
1755,Q9BUB5    ,Nucleoplasm
1761,Q9HBH9    ,Nucleus
1762,Q9HBH9    ,Cytoplasm
1764,Q9HBH9    ,Pml Body
1767,Q9HBH9    ,Nuclear Body
1768,Q9HBH9    ,Nucleoplasm
1770,Q15746    ,Cytoplasm
1771,Q15746    ,Cytoskeleton
1772,Q15746    ,Lamellipodium
1773,Q15746    ,Cleavage Furrow
1779,Q15746    ,Stress Fiber
1784,Q15746    ,Cytosol
1787,Q15746    ,Actin Cytoskeleton
1788,Q15746    ,Plasma Membrane
1789,Q15746    ,Cell Projection
1791,Q9H1R3    ,Sarcomere
1792,Q9H1R3    ,Cytoplasm
1793,Q9H1R3    ,Nucleus
1795,Q9H1R3    ,Synapse
1799,Q32MK0    ,Cytoplasm
1800,Q32MK0    ,Cytosol
1802,Q32MK0    ,Actin Cytoskeleton
1811,Q8IY84    ,Cytoplasm
1812,Q8IY84    ,Nucleus
1814,O60285    ,Cytoplasm
1815,O60285    ,Nucleus
1822,O60285    ,Nucleoplasm
1825,O60285    ,Microtubule Cytoskeleton
1827,O60285    ,Fibrillar Center
1829,Q9H093    ,Cytoplasm
1830,Q9H093    ,Nucleus
1832,Q5VST9    ,M Band
1834,Q5VST9    ,Z Disc
1835,Q5VST9    ,Myofibril
1836,Q5VST9    ,Cytosol
1839,Q5VST9    ,Nuclear Body
1840,Q5VST9    ,Plasma Membrane
1842,Q5VST9    ,Nucleus
1844,Q5VST9    ,Cytoplasm
1845,Q5VST9    ,Membrane
1847,Q5VST9    ,Sarcolemma
1851,Q96RG2    ,Cytoplasm
1852,Q96RG2    ,Nucleus
1853,Q96RG2    ,Cytosol
1862,Q16816    ,Cytosol
1863,Q16816    ,Phosphorylase Kinase Complex
1866,P15735    ,Phosphorylase Kinase Complex
1867,P15735    ,Cytosol
1872,P11309    ,Membrane
1873,P11309    ,Plasma Membrane
1874,P11309    ,Nucleus
1875,P11309    ,Cytoplasm
1882,P11309    ,Nucleoplasm
1883,P11309    ,Cytosol
1884,P11309    ,Nucleolus
1890,Q9P1W9    ,Cytoplasm
1892,Q86V86    ,Cytoplasm
1893,Q86V86    ,Cytosol
1897,Q6P2M8    ,Nucleus
1898,Q6P2M8    ,Cytoplasm
1902,Q13131    ,Cytoplasm
1903,Q13131    ,Nucleotide-Activated Protein Kinase Complex
1904,Q13131    ,Neuronal Cell Body
1905,Q13131    ,Dendrite
1906,Q13131    ,Axon
1908,Q13131    ,Nucleus
1911,Q13131    ,Cytosol
1925,Q13131    ,Nucleoplasm
1926,Q13131    ,Nuclear Speck
1928,Q13131    ,Cell
1933,Q13131    ,Protein-Containing Complex
1937,Q13131    ,Apical Plasma Membrane
1949,P54646    ,Nucleus
1950,P54646    ,Neuronal Cell Body
1951,P54646    ,Dendrite
1952,P54646    ,Axon
1953,P54646    ,Cytoplasmic Stress Granule
