,Gene Name,Uniprot Number,Subcellular Location
139,ACVR2A,P27037,Activin Receptor Complex
141,ACVR2A,P27037,Plasma Membrane
154,ACVR2B,Q13705,Receptor Complex
155,ACVR2B,Q13705,Integral Component Of Plasma Membrane
156,ACVR2B,Q13705,Cytoplasm
157,ACVR2B,Q13705,Activin Receptor Complex
159,ACVR2B,Q13705,Plasma Membrane
171,ACVR2B,Q13705,Protein-Containing Complex
172,ACVR2B,Q13705,Membrane
175,ACVR2B,Q13705,Integral Component Of Membrane
178,ACVRL1,P37023,Plasma Membrane
179,ACVRL1,P37023,Integral Component Of Plasma Membrane
180,ACVRL1,P37023,Bmp Receptor Complex
181,ACVRL1,P37023,Receptor Complex
184,ACVRL1,P37023,Cell Surface
185,ACVRL1,P37023,Neuronal Cell Body
186,ACVRL1,P37023,Dendrite
188,ACVRL1,P37023,Membrane
192,ACVRL1,P37023,Integral Component Of Membrane
194,ADCK1,Q86TW2,Extracellular Region
197,ADCK2,Q7Z695,Integral Component Of Membrane
198,ADCK2,Q7Z695,Membrane
201,ADCK5,Q3MIX3,Membrane
202,ADCK5,Q3MIX3,Integral Component Of Membrane
205,AKT1,P31749,Nucleus
206,AKT1,P31749,Membrane
207,AKT1,P31749,Cytoplasm
208,AKT1,P31749,Plasma Membrane
210,AKT1,P31749,Protein-Containing Complex
212,AKT1,P31749,Vesicle
217,AKT1,P31749,Cytosol
278,AKT1,P31749,Nucleoplasm
293,AKT1,P31749,Microtubule Cytoskeleton
295,AKT1,P31749,Postsynapse
296,AKT1,P31749,Ciliary Basal Body
298,AKT1,P31749,Cell-Cell Junction
300,AKT1,P31749,Spindle
301,AKT1,P31749,Mitochondrion
309,AKT2,P31751,Protein-Containing Complex
310,AKT2,P31751,Ruffle Membrane
311,AKT2,P31751,Cell Cortex
312,AKT2,P31751,Plasma Membrane
314,AKT2,P31751,Nucleus
316,AKT2,P31751,Cytosol
320,AKT2,P31751,Nucleoplasm
321,AKT2,P31751,Intracellular Membrane-Bounded Organelle
327,AKT2,P31751,Membrane
328,AKT2,P31751,Endosome
331,AKT2,P31751,Cytoplasm
332,AKT2,P31751,Early Endosome
337,AKT3,Q9Y243,Membrane
338,AKT3,Q9Y243,Nucleus
339,AKT3,Q9Y243,Cytoplasm
344,ALK,Q9UM73,Extracellular Exosome
345,ALK,Q9UM73,Integral Component Of Plasma Membrane
347,ALK,Q9UM73,Receptor Complex
349,ALK,Q9UM73,Protein-Containing Complex
351,ALK,Q9UM73,Plasma Membrane
352,ALK,Q9UM73,Membrane
355,ALK,Q9UM73,Integral Component Of Membrane
358,ALPK1,Q96QP1,Cytosol
359,ALPK1,Q96QP1,Cytoplasm
362,ALPK2,Q86TB3,Basolateral Plasma Membrane
363,ALPK2,Q86TB3,Plasma Membrane
364,ALPK2,Q86TB3,Membrane
367,ALPK3,Q96L96,Nucleus
372,AMHR2,Q16671,Receptor Complex
373,AMHR2,Q16671,Plasma Membrane
375,AMHR2,Q16671,Integral Component Of Plasma Membrane
376,AMHR2,Q16671,Membrane
377,AMHR2,Q16671,Integral Component Of Membrane
381,ANKK1,Q8NFD2,Nucleus
382,ANKK1,Q8NFD2,Cell Projection
383,ANKK1,Q8NFD2,Cytoplasm
386,ARAF,P10398,Cytosol
387,ARAF,P10398,Mitochondrion
395,ATM,Q13315,Nucleolus
396,ATM,Q13315,Nucleus
397,ATM,Q13315,Nuclear Chromosome
398,ATM,Q13315,Telomeric Region
399,ATM,Q13315,Chromosome
402,ATM,Q13315,Nucleoplasm
483,ATM,Q13315,Dna Repair Complex
484,ATM,Q13315,Intracellular Membrane-Bounded Organelle
486,ATM,Q13315,Cell
487,ATM,Q13315,Cytoplasm
489,ATM,Q13315,Spindle
490,ATM,Q13315,Cytoplasmic Vesicle
494,ATR,Q13535,Nucleus
495,ATR,Q13535,Chromosome
498,ATR,Q13535,Pml Body
499,ATR,Q13535,Nuclear Chromosome
500,ATR,Q13535,Telomeric Region
504,ATR,Q13535,Nucleoplasm
522,ATR,Q13535,Golgi Apparatus
525,AURKA,O14965,Cytoskeleton
526,AURKA,O14965,Cilium
527,AURKA,O14965,Cell Projection
528,AURKA,O14965,Microtubule
529,AURKA,O14965,Cytoplasm
530,AURKA,O14965,Microtubule Organizing Center
531,AURKA,O14965,Neuron Projection
532,AURKA,O14965,Centriole
533,AURKA,O14965,Spindle Pole
534,AURKA,O14965,Centrosome
536,AURKA,O14965,Mitotic Spindle Pole
537,AURKA,O14965,Spindle
538,AURKA,O14965,Nucleus
539,AURKA,O14965,Perinuclear Region Of Cytoplasm
540,AURKA,O14965,Spindle Pole Centrosome
541,AURKA,O14965,Microtubule Cytoskeleton
542,AURKA,O14965,Spindle Microtubule
544,AURKA,O14965,Midbody
549,AURKA,O14965,Spindle Midzone
550,AURKA,O14965,Chromosome Passenger Complex
553,AURKA,O14965,Condensed Nuclear Chromosome
554,AURKA,O14965,Centromeric Region
555,AURKA,O14965,Cytosol
569,AURKA,O14965,Nucleoplasm
575,AURKA,O14965,Meiotic Spindle
576,AURKA,O14965,Mitotic Spindle
577,AURKA,O14965,Pronucleus
578,AURKA,O14965,Axon Hillock
579,AURKA,O14965,Germinal Vesicle
583,AURKB,Q96GD4,Kinetochore
584,AURKB,Q96GD4,Condensed Nuclear Chromosome
585,AURKB,Q96GD4,Centromeric Region
586,AURKB,Q96GD4,Chromosome Passenger Complex
589,AURKB,Q96GD4,Midbody
591,AURKB,Q96GD4,Spindle
592,AURKB,Q96GD4,Nucleus
593,AURKB,Q96GD4,Condensed Chromosome
595,AURKB,Q96GD4,Spindle Midzone
597,AURKB,Q96GD4,Spindle Pole Centrosome
598,AURKB,Q96GD4,Spindle Microtubule
601,AURKB,Q96GD4,Cytosol
619,AURKB,Q96GD4,Nucleoplasm
626,AURKB,Q96GD4,Mitotic Spindle Midzone
629,AURKB,Q96GD4,Chromocenter
634,AURKB,Q96GD4,Cytoplasm
635,AURKB,Q96GD4,Cytoskeleton
636,AURKB,Q96GD4,Chromosome
647,AURKC,Q9UQB9,Spindle Midzone
648,AURKC,Q9UQB9,Chromosome Passenger Complex
649,AURKC,Q9UQB9,Midbody
651,AURKC,Q9UQB9,Spindle
652,AURKC,Q9UQB9,Condensed Chromosome
655,AURKC,Q9UQB9,Spindle Pole Centrosome
656,AURKC,Q9UQB9,Spindle Microtubule
657,AURKC,Q9UQB9,Condensed Nuclear Chromosome
658,AURKC,Q9UQB9,Centromeric Region
660,AURKC,Q9UQB9,Chromosome
662,AURKC,Q9UQB9,Nucleus
664,AURKC,Q9UQB9,Cytoplasm
665,AURKC,Q9UQB9,Cytoskeleton
672,AXL,P30530,Host Cell Surface
673,AXL,P30530,Extracellular Exosome
674,AXL,P30530,Cell Surface
675,AXL,P30530,Integral Component Of Plasma Membrane
677,AXL,P30530,Extracellular Space
678,AXL,P30530,Receptor Complex
680,AXL,P30530,Plasma Membrane
684,AXL,P30530,Intracellular Membrane-Bounded Organelle
685,AXL,P30530,Actin Cytoskeleton
688,AXL,P30530,Membrane
689,AXL,P30530,Integral Component Of Membrane
692,BCKDK,O14874,Mitochondrion
693,BCKDK,O14874,Mitochondrial Alpha-Ketoglutarate Dehydrogenase Complex
697,BCKDK,O14874,Mitochondrial Matrix
704,BLK,P51451,Cytosol
705,BLK,P51451,Plasma Membrane
706,BLK,P51451,Membrane
709,BMP2K,Q9NSY1,Nucleus
712,BMP2K,Q9NSY1,Nuclear Speck
715,BMPR1A,P36894,Plasma Membrane
716,BMPR1A,P36894,Cell Surface
717,BMPR1A,P36894,Hfe-Transferrin Receptor Complex
718,BMPR1A,P36894,External Side Of Plasma Membrane
719,BMPR1A,P36894,Integral Component Of Membrane
720,BMPR1A,P36894,Caveola
722,BMPR1A,P36894,Receptor Complex
733,BMPR1A,P36894,Neuronal Cell Body
734,BMPR1A,P36894,Dendrite
735,BMPR1A,P36894,Membrane
740,BMPR1B,O00238,Hfe-Transferrin Receptor Complex
741,BMPR1B,O00238,Plasma Membrane
742,BMPR1B,O00238,Receptor Complex
743,BMPR1B,O00238,Integral Component Of Plasma Membrane
754,BMPR1B,O00238,Neuronal Cell Body
755,BMPR1B,O00238,Dendrite
757,BMPR1B,O00238,Membrane
758,BMPR1B,O00238,Integral Component Of Membrane
764,BMPR2,Q13873,Adherens Junction
765,BMPR2,Q13873,Plasma Membrane
766,BMPR2,Q13873,Extracellular Space
767,BMPR2,Q13873,Spanning Component Of Plasma Membrane
768,BMPR2,Q13873,Caveola
769,BMPR2,Q13873,Integral Component Of Plasma Membrane
771,BMPR2,Q13873,Receptor Complex
782,BMPR2,Q13873,Nucleoplasm
783,BMPR2,Q13873,Neuronal Cell Body
784,BMPR2,Q13873,Dendrite
785,BMPR2,Q13873,Apical Plasma Membrane
786,BMPR2,Q13873,Basal Plasma Membrane
788,BMPR2,Q13873,Cytoplasm
789,BMPR2,Q13873,Postsynaptic Density
790,BMPR2,Q13873,Cell Surface
792,BMPR2,Q13873,Membrane
795,BMPR2,Q13873,Integral Component Of Membrane
798,BMX,P51813,Ruffle Membrane
799,BMX,P51813,Cytosol
801,BMX,P51813,Plasma Membrane
802,BMX,P51813,Nucleoplasm
803,BMX,P51813,Cytoplasm
806,BRAF,P15056,Cytoplasm
807,BRAF,P15056,Membrane
808,BRAF,P15056,Nucleus
809,BRAF,P15056,Plasma Membrane
814,BRAF,P15056,Cytosol
815,BRAF,P15056,Mitochondrion
869,BRAF,P15056,Intracellular Membrane-Bounded Organelle
872,BRSK1,Q8TDC3,Presynaptic Active Zone
873,BRSK1,Q8TDC3,Synaptic Vesicle
874,BRSK1,Q8TDC3,Distal Axon
878,BRSK1,Q8TDC3,Centrosome
879,BRSK1,Q8TDC3,Cytoplasm
880,BRSK1,Q8TDC3,Nucleus
884,BRSK1,Q8TDC3,Cell Junction
885,BRSK1,Q8TDC3,Nucleoplasm
889,BRSK1,Q8TDC3,Cytoplasmic Vesicle
892,BRSK1,Q8TDC3,Cell Projection
894,BRSK1,Q8TDC3,Synapse
895,BRSK1,Q8TDC3,Cytoskeleton
897,BRSK1,Q8TDC3,Microtubule Organizing Center
903,BRSK2,Q8IWQ3,Distal Axon
904,BRSK2,Q8IWQ3,Cytoplasm
905,BRSK2,Q8IWQ3,Endoplasmic Reticulum
906,BRSK2,Q8IWQ3,Centrosome
910,BRSK2,Q8IWQ3,Nucleus
913,BRSK2,Q8IWQ3,Cytoskeleton
915,BRSK2,Q8IWQ3,Perinuclear Region Of Cytoplasm
916,BRSK2,Q8IWQ3,Microtubule Organizing Center
918,BTK,Q06187,Cytoplasm
919,BTK,Q06187,Membrane Raft
920,BTK,Q06187,Plasma Membrane
922,BTK,Q06187,Cytosol
924,BTK,Q06187,Nucleus
966,BTK,Q06187,Mast Cell Granule
967,BTK,Q06187,Cytoplasmic Vesicle
970,BTK,Q06187,Perinuclear Region Of Cytoplasm
973,BTK,Q06187,Membrane
979,BUB1,O43683,Nucleus
981,BUB1,O43683,Condensed Chromosome Kinetochore
982,BUB1,O43683,Condensed Nuclear Chromosome Outer Kinetochore
983,BUB1,O43683,Membrane
985,BUB1,O43683,Kinetochore
987,BUB1,O43683,Condensed Nuclear Chromosome Kinetochore
988,BUB1,O43683,Cytosol
1005,BUB1,O43683,Nucleoplasm
1007,BUB1,O43683,Chromosome
1009,BUB1,O43683,Centromeric Region
1011,BUB1B,O60566,Cytoplasm
1012,BUB1B,O60566,Anaphase-Promoting Complex
1013,BUB1B,O60566,Perinuclear Region Of Cytoplasm
1014,BUB1B,O60566,Spindle
1015,BUB1B,O60566,Condensed Chromosome Outer Kinetochore
1016,BUB1B,O60566,Condensed Chromosome Kinetochore
1017,BUB1B,O60566,Kinetochore
1021,BUB1B,O60566,Condensed Nuclear Chromosome Kinetochore
1022,BUB1B,O60566,Cytosol
1048,BUB1B,O60566,Chromosome
1049,BUB1B,O60566,Centromeric Region
1052,BUB1B,O60566,Nucleus
1054,BUB1B,O60566,Cytoskeleton
1057,BUB1B,O60566,Microtubule Organizing Center
1060,CAMK1,Q14012,Nucleus
1061,CAMK1,Q14012,Cytoplasm
1062,CAMK1,Q14012,Cytosol
1064,CAMK1,Q14012,Glutamatergic Synapse
1065,CAMK1,Q14012,Postsynaptic Density
1069,CAMK1D,Q8IU85,Nucleus
1070,CAMK1D,Q8IU85,Cytoplasm
1077,CAMK1G,Q96NX5,Neuron Projection
1078,CAMK1G,Q96NX5,Cytoplasm
1079,CAMK1G,Q96NX5,Endomembrane System
1080,CAMK1G,Q96NX5,Plasma Membrane
1081,CAMK1G,Q96NX5,Membrane
1084,CAMK1G,Q96NX5,Golgi Apparatus
1085,CAMK1G,Q96NX5,Golgi Membrane
1089,CAMK2A,Q9UQM7,Mitochondrion
1090,CAMK2A,Q9UQM7,Nucleus
1091,CAMK2A,Q9UQM7,Dendritic Spine
1092,CAMK2A,Q9UQM7,Neuron Projection
1093,CAMK2A,Q9UQM7,Cytoplasm
1094,CAMK2A,Q9UQM7,Endocytic Vesicle Membrane
1095,CAMK2A,Q9UQM7,Cytosol
1101,CAMK2A,Q9UQM7,Nucleoplasm
1102,CAMK2A,Q9UQM7,Cell Projection
1103,CAMK2A,Q9UQM7,Synapse
1104,CAMK2A,Q9UQM7,Cell Junction
1107,CAMK2A,Q9UQM7,Dendrite
1108,CAMK2A,Q9UQM7,Postsynaptic Density
1110,CAMK2B,Q13554,Neuron Projection
1111,CAMK2B,Q13554,Cytoplasm
1112,CAMK2B,Q13554,Endocytic Vesicle Membrane
1113,CAMK2B,Q13554,Cytosol
1114,CAMK2B,Q13554,Nucleoplasm
1115,CAMK2B,Q13554,Synapse
1117,CAMK2B,Q13554,Membrane
1118,CAMK2B,Q13554,Cytoskeleton
1119,CAMK2B,Q13554,Cell Junction
1120,CAMK2B,Q13554,Sarcoplasmic Reticulum
1122,CAMK2B,Q13554,Sarcoplasmic Reticulum Membrane
1123,CAMK2B,Q13554,Microtubule Organizing Center
1126,CAMK2D,Q13557,Membrane
1127,CAMK2D,Q13557,Cytoplasm
1128,CAMK2D,Q13557,Nucleus
1129,CAMK2D,Q13557,Neuron Projection
1131,CAMK2D,Q13557,Endocytic Vesicle Membrane
1132,CAMK2D,Q13557,Cytosol
1133,CAMK2D,Q13557,Nucleoplasm
1134,CAMK2D,Q13557,Sarcoplasmic Reticulum
1136,CAMK2D,Q13557,Plasma Membrane
1137,CAMK2D,Q13557,Sarcoplasmic Reticulum Membrane
1138,CAMK2D,Q13557,Sarcolemma
1140,CAMK2G,Q13555,Membrane
1141,CAMK2G,Q13555,Neuron Projection
1142,CAMK2G,Q13555,Cytoplasm
1143,CAMK2G,Q13555,Endocytic Vesicle Membrane
1144,CAMK2G,Q13555,Cytosol
1145,CAMK2G,Q13555,Nucleoplasm
1146,CAMK2G,Q13555,Sarcoplasmic Reticulum Membrane
1147,CAMK2G,Q13555,Sarcoplasmic Reticulum
1150,CAMK4,Q16566,Extracellular Exosome
1151,CAMK4,Q16566,Cytoplasm
1152,CAMK4,Q16566,Nucleus
1153,CAMK4,Q16566,Nucleoplasm
1156,CAMK4,Q16566,Fibrillar Center
1157,CAMK4,Q16566,Glutamatergic Synapse
1158,CAMK4,Q16566,Postsynapse
1164,CAMKK1,Q8N5S9,Cytoplasm
1165,CAMKK1,Q8N5S9,Cytosol
1166,CAMKK1,Q8N5S9,Nucleoplasm
1168,CAMKK1,Q8N5S9,Nucleus
1172,CAMKK2,Q96RR4,Cytosol
1176,CAMKK2,Q96RR4,Nucleoplasm
1179,CAMKK2,Q96RR4,Cytoplasm
1180,CAMKK2,Q96RR4,Cell Projection
1181,CAMKK2,Q96RR4,Nucleus
1183,CAMKK2,Q96RR4,Neuron Projection
1186,CAMKV,Q8NCB2,Glutamatergic Synapse
1187,CAMKV,Q8NCB2,Membrane
1188,CAMKV,Q8NCB2,Cytoplasmic Vesicle Membrane
1189,CAMKV,Q8NCB2,Plasma Membrane
1190,CAMKV,Q8NCB2,Cytoplasmic Vesicle
1193,CASK,O14936,Nuclear Lamina
1194,CASK,O14936,Nucleolus
1195,CASK,O14936,Basement Membrane
1196,CASK,O14936,Focal Adhesion
1197,CASK,O14936,Actin Cytoskeleton
1198,CASK,O14936,Plasma Membrane
1199,CASK,O14936,Ciliary Membrane
1200,CASK,O14936,Presynaptic Membrane
1201,CASK,O14936,Nuclear Matrix
1202,CASK,O14936,Cell-Cell Junction
1203,CASK,O14936,Cytoplasm
1207,CASK,O14936,Cytosol
1210,CASK,O14936,Synapse
1211,CASK,O14936,Vesicle
1212,CASK,O14936,Basolateral Plasma Membrane
1213,CASK,O14936,Membrane
1217,CASK,O14936,Nucleus
1227,CDC42BPA,Q5VT25,Extracellular Exosome
1228,CDC42BPA,Q5VT25,Lamellipodium
1229,CDC42BPA,Q5VT25,Actomyosin
1230,CDC42BPA,Q5VT25,Cell Leading Edge
1231,CDC42BPA,Q5VT25,Cell-Cell Junction
1233,CDC42BPA,Q5VT25,Cytoskeleton
1234,CDC42BPA,Q5VT25,Cytoplasm
1236,CDC42BPA,Q5VT25,Cell Projection
1240,CDC42BPB,Q9Y5S2,Membrane
1241,CDC42BPB,Q9Y5S2,Plasma Membrane
1242,CDC42BPB,Q9Y5S2,Cell Junction
1243,CDC42BPB,Q9Y5S2,Cell Projection
1244,CDC42BPB,Q9Y5S2,Cytoplasm
1246,CDC42BPB,Q9Y5S2,Lamellipodium
1249,CDC42BPB,Q9Y5S2,Extracellular Exosome
1250,CDC42BPB,Q9Y5S2,Cytoskeleton
1252,CDC42BPB,Q9Y5S2,Actomyosin
1253,CDC42BPB,Q9Y5S2,Cell Leading Edge
1254,CDC42BPB,Q9Y5S2,Cell-Cell Junction
1260,CDC42BPG,Q6DT37,Cell Leading Edge
1261,CDC42BPG,Q6DT37,Cytoskeleton
1262,CDC42BPG,Q6DT37,Cytoplasm
1263,CDC42BPG,Q6DT37,Centriolar Satellite
1264,CDC42BPG,Q6DT37,Cytosol
1268,CDC7,O00311,Nucleus
1270,CDC7,O00311,Cytoplasm
1274,CDC7,O00311,Nucleoplasm
1281,CDC7,O00311,Mitotic Spindle
1282,CDC7,O00311,Intercellular Bridge
1285,CDK1,P06493,Nucleus
1286,CDK1,P06493,Cytoplasm
1287,CDK1,P06493,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1288,CDK1,P06493,Nuclear Chromosome
1289,CDK1,P06493,Telomeric Region
1290,CDK1,P06493,Membrane
1291,CDK1,P06493,Extracellular Exosome
1292,CDK1,P06493,Mitochondrial Matrix
1293,CDK1,P06493,Mitotic Spindle
1294,CDK1,P06493,Midbody
1295,CDK1,P06493,Spindle Microtubule
1296,CDK1,P06493,Centrosome
1297,CDK1,P06493,Mitochondrion
1299,CDK1,P06493,Cytosol
1344,CDK1,P06493,Endoplasmic Reticulum Membrane
1345,CDK1,P06493,Nucleoplasm
1375,CDK1,P06493,Cytoskeleton
1379,CDK1,P06493,Spindle
1380,CDK1,P06493,Microtubule Organizing Center
1385,CDK10,Q15131,Ciliary Basal Body
1386,CDK10,Q15131,Nucleus
1387,CDK10,Q15131,Cytoplasm
1388,CDK10,Q15131,Cell Projection
1389,CDK10,Q15131,Cytoskeleton
1391,CDK11A,Q9UQ88,Nucleus
1394,CDK11A,Q9UQ88,Cytoplasm
1398,CDK11B,P21127,Cytoplasm
1399,CDK11B,P21127,Nucleus
1406,CDK12,Q9NYV4,Nuclear Speck
1407,CDK12,Q9NYV4,Nucleus
1408,CDK12,Q9NYV4,Nuclear Chromatin
1409,CDK12,Q9NYV4,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1410,CDK12,Q9NYV4,Nucleoplasm
1420,CDK13,Q14004,Extracellular Space
1421,CDK13,Q14004,Nuclear Speck
1422,CDK13,Q14004,Chromosome
1423,CDK13,Q14004,Nucleus
1424,CDK13,Q14004,Nuclear Chromatin
1425,CDK13,Q14004,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1426,CDK13,Q14004,Nucleoplasm
1427,CDK13,Q14004,Extracellular Region
1429,CDK13,Q14004,Cytosol
1430,CDK13,Q14004,Golgi Apparatus
1434,CDK14,O94921,Cytoplasm
1435,CDK14,O94921,Nucleus
1436,CDK14,O94921,Plasma Membrane
1438,CDK14,O94921,Cytosol
1442,CDK14,O94921,Nucleoplasm
1449,CDK14,O94921,Membrane
1454,CDK15,Q96Q40,Cytosol
1455,CDK15,Q96Q40,Cytoplasm
1456,CDK15,Q96Q40,Nucleus
1458,CDK16,Q00536,Cytoplasmic Vesicle
1459,CDK16,Q00536,Neuron Projection
1460,CDK16,Q00536,Plasma Membrane
1461,CDK16,Q00536,Cell Junction
1462,CDK16,Q00536,Membrane
1463,CDK16,Q00536,Cytoplasm
1464,CDK16,Q00536,Synapse
1465,CDK16,Q00536,Transport Vesicle
1469,CDK16,Q00536,Synaptic Vesicle
1473,CDK16,Q00536,Nucleus
1474,CDK16,Q00536,Microtubule Cytoskeleton
1476,CDK16,Q00536,Cytosol
1479,CDK17,Q00537,Cytoplasm
1480,CDK17,Q00537,Nucleus
1482,CDK18,Q07002,Cytoplasm
1483,CDK18,Q07002,Nucleus
1485,CDK19,Q9BWU1,Mediator Complex
1486,CDK19,Q9BWU1,Cytosol
1487,CDK19,Q9BWU1,Nucleus
1491,CDK2,P24941,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1492,CDK2,P24941,Nucleoplasm
1493,CDK2,P24941,Cajal Body
1494,CDK2,P24941,Centrosome
1495,CDK2,P24941,Endosome
1496,CDK2,P24941,Cytoplasm
1497,CDK2,P24941,Nucleus
1502,CDK2,P24941,Cytosol
1548,CDK2,P24941,Transcription Factor Complex
1550,CDK2,P24941,Y Chromosome
1551,CDK2,P24941,X Chromosome
1552,CDK2,P24941,Condensed Chromosome
1553,CDK2,P24941,Chromosome
1554,CDK2,P24941,Telomeric Region
1556,CDK2,P24941,Cytoskeleton
1560,CDK2,P24941,Microtubule Organizing Center
1565,CDK20,Q8IZL9,Nucleus
1566,CDK20,Q8IZL9,Nucleoplasm
1567,CDK20,Q8IZL9,Cell Projection
1568,CDK20,Q8IZL9,Cilium
1569,CDK20,Q8IZL9,Cytoplasm
1575,CDK3,Q00526,Nucleus
1577,CDK4,P11802,Nucleus
1578,CDK4,P11802,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1579,CDK4,P11802,Nuclear Membrane
1580,CDK4,P11802,Cytosol
1581,CDK4,P11802,Nucleolus
1583,CDK4,P11802,Chromatin
1594,CDK4,P11802,Nucleoplasm
1612,CDK4,P11802,Protein-Containing Complex
1613,CDK4,P11802,Bicellular Tight Junction
1614,CDK4,P11802,Cytoplasm
1615,CDK4,P11802,Transcription Factor Complex
1618,CDK4,P11802,Perinuclear Region Of Cytoplasm
1622,CDK4,P11802,Membrane
1627,CDK5,Q00535,Neuron Projection
1628,CDK5,Q00535,Growth Cone
1629,CDK5,Q00535,Membrane
1630,CDK5,Q00535,Microtubule
1631,CDK5,Q00535,Cytoplasm
1632,CDK5,Q00535,Neuronal Cell Body
1633,CDK5,Q00535,Neuromuscular Junction
1635,CDK5,Q00535,Dendrite
1636,CDK5,Q00535,Axon
1638,CDK5,Q00535,Postsynaptic Density
1640,CDK5,Q00535,Nucleus
1643,CDK5,Q00535,Cytosol
1651,CDK5,Q00535,Nucleoplasm
1654,CDK5,Q00535,Plasma Membrane
1656,CDK5,Q00535,Cell
1658,CDK5,Q00535,Filopodium
1659,CDK5,Q00535,Lamellipodium
1663,CDK5,Q00535,Glutamatergic Synapse
1664,CDK5,Q00535,Postsynapse
1665,CDK5,Q00535,Presynapse
1675,CDK5,Q00535,Cytoskeleton
1678,CDK5,Q00535,Cell Projection
1679,CDK5,Q00535,Cell Junction
1684,CDK5,Q00535,Synapse
1690,CDK5,Q00535,Perikaryon
1693,CDK6,Q00534,Nucleus
1694,CDK6,Q00534,Cytoskeleton
1695,CDK6,Q00534,Cytoplasm
1696,CDK6,Q00534,Cell Projection
1697,CDK6,Q00534,Ruffle
1700,CDK6,Q00534,Microtubule Organizing Center
1701,CDK6,Q00534,Centrosome
1705,CDK6,Q00534,Cyclin-Dependent Protein Kinase Holoenzyme Complex
1707,CDK6,Q00534,Cytosol
1712,CDK6,Q00534,Nucleoplasm
1716,CDK7,P50613,Nucleus
1717,CDK7,P50613,Transcription Factor Tfiih Holo Complex
1718,CDK7,P50613,Transcription Factor Tfiik Complex
1719,CDK7,P50613,Cytoplasm
1721,CDK7,P50613,Nucleoplasm
1797,CDK7,P50613,Perinuclear Region Of Cytoplasm
1800,CDK8,P49336,Mediator Complex
1801,CDK8,P49336,Nucleus
1802,CDK8,P49336,Nucleoplasm
