Uniprot_number,Gene_name,Protein_name,Gene_aliases,Uniprot_entry
Q15208,STK38,Serine/threonine-protein kinase 38,"['STK38', 'NDR1']",STK38_HUMAN
Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like,"['STK38L', 'KIAA0965', 'NDR2']",ST38L_HUMAN
Q8TDC3,BRSK1,Serine/threonine-protein kinase BRSK1,"['BRSK1', 'KIAA1811', 'SAD1', 'SADB']",BRSK1_HUMAN
Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2,"['BRSK2', 'C11orf7', 'PEN11B', 'SADA', 'STK29', 'HUSSY-12']",BRSK2_HUMAN
Q14012,CAMK1,Calcium/calmodulin-dependent protein kinase type 1,['CAMK1'],KCC1A_HUMAN
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,"['CAMK1D', 'CAMKID']",KCC1D_HUMAN
Q96NX5,CAMK1G,Calcium/calmodulin-dependent protein kinase type 1G,"['CAMK1G', 'CLICK3', 'VWS1']",KCC1G_HUMAN
Q9UQM7,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha,"['CAMK2A', 'CAMKA', 'KIAA0968']",KCC2A_HUMAN
Q13554,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,"['CAMK2B', 'CAM2', 'CAMK2', 'CAMKB']",KCC2B_HUMAN
Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,"['CAMK2D', 'CAMKD']",KCC2D_HUMAN
Q13555,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,"['CAMK2G', 'CAMK', 'CAMK-II', 'CAMKG']",KCC2G_HUMAN
Q16566,CAMK4,Calcium/calmodulin-dependent protein kinase type IV,"['CAMK4', 'CAMK', 'CAMK-GR', 'CAMKIV']",KCC4_HUMAN
Q8NCB2,CAMKV,CaM kinase-like vesicle-associated protein,['CAMKV'],CAMKV_HUMAN
O14936,CASK,Peripheral plasma membrane protein CASK,"['CASK', 'LIN2']",CSKP_HUMAN
O14757,CHEK1,Serine/threonine-protein kinase Chk1,"['CHEK1', 'CHK1']",CHK1_HUMAN
O96017,CHEK2,Serine/threonine-protein kinase Chk2,"['CHEK2', 'CDS1', 'CHK2', 'RAD53']",CHK2_HUMAN
P53355,DAPK1,Death-associated protein kinase 1,"['DAPK1', 'DAPK']",DAPK1_HUMAN
Q9UIK4,DAPK2,Death-associated protein kinase 2,['DAPK2'],DAPK2_HUMAN
O43293,DAPK3,Death-associated protein kinase 3,"['DAPK3', 'ZIPK']",DAPK3_HUMAN
O15075,DCLK1,Serine/threonine-protein kinase DCLK1,"['DCLK1', 'DCAMKL1', 'DCDC3A', 'KIAA0369']",DCLK1_HUMAN
Q8N568,DCLK2,Serine/threonine-protein kinase DCLK2,"['DCLK2', 'DCAMKL2', 'DCDC3B', 'DCK2']",DCLK2_HUMAN
Q9C098,DCLK3,Serine/threonine-protein kinase DCLK3,"['DCLK3', 'DCAMKL3', 'DCDC3C', 'KIAA1765']",DCLK3_HUMAN
P57058,HUNK,Hormonally up-regulated neu tumor-associated kinase,"['HUNK', 'MAKV']",HUNK_HUMAN
O60229,KALRN,Kalirin,"['KALRN', 'DUET', 'DUO', 'HAPIP', 'TRAD']",KALRN_HUMAN
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,['MAPKAPK2'],MAPK2_HUMAN
Q16644,MAPKAPK3,MAP kinase-activated protein kinase 3,['MAPKAPK3'],MAPK3_HUMAN
Q8IW41,MAPKAPK5,MAP kinase-activated protein kinase 5,"['MAPKAPK5', 'PRAK']",MAPK5_HUMAN
Q9P0L2,MARK1,Serine/threonine-protein kinase MARK1,"['MARK1', 'KIAA1477', 'MARK']",MARK1_HUMAN
Q7KZI7,MARK2,Serine/threonine-protein kinase MARK2,"['MARK2', 'EMK1']",MARK2_HUMAN
P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,"['MARK3', 'CTAK1', 'EMK2']",MARK3_HUMAN
Q96L34,MARK4,MAP/microtubule affinity-regulating kinase 4,"['MARK4', 'KIAA1860', 'MARKL1']",MARK4_HUMAN
Q14680,MELK,Maternal embryonic leucine zipper kinase,"['MELK', 'KIAA0175']",MELK_HUMAN
Q9BUB5,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1,"['MKNK1', 'MNK1']",MKNK1_HUMAN
Q9HBH9,MKNK2,MAP kinase-interacting serine/threonine-protein kinase 2,"['MKNK2', 'GPRK7', 'MNK2']",MKNK2_HUMAN
Q15746,MYLK,"Myosin light chain kinase, smooth muscle","['MYLK', 'MLCK', 'MLCK1', 'MYLK1']",MYLK_HUMAN
Q9H1R3,MYLK2,"Myosin light chain kinase 2, skeletal/cardiac muscle",['MYLK2'],MYLK2_HUMAN
Q32MK0,MYLK3,Myosin light chain kinase 3,"['MYLK3', 'MLCK']",MYLK3_HUMAN
Q86YV6,MYLK4,Myosin light chain kinase family member 4,"['MYLK4', 'SGK085']",MYLK4_HUMAN
Q8IY84,NIM1K,Serine/threonine-protein kinase NIM1,"['NIM1K', 'NIM1']",NIM1_HUMAN
O60285,NUAK1,NUAK family SNF1-like kinase 1,"['NUAK1', 'ARK5', 'KIAA0537', 'OMPHK1']",NUAK1_HUMAN
Q9H093,NUAK2,NUAK family SNF1-like kinase 2,"['NUAK2', 'OMPHK2', 'SNARK']",NUAK2_HUMAN
Q5VST9,OBSCN,Obscurin,"['OBSCN', 'KIAA1556', 'KIAA1639']",OBSCN_HUMAN
Q96RG2,PASK,PAS domain-containing serine/threonine-protein kinase,"['PASK', 'KIAA0135']",PASK_HUMAN
Q16816,PHKG1,"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform","['PHKG1', 'PHKG']",PHKG1_HUMAN
P15735,PHKG2,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",['PHKG2'],PHKG2_HUMAN
P11309,PIM1,Serine/threonine-protein kinase pim-1,['PIM1'],PIM1_HUMAN
Q9P1W9,PIM2,Serine/threonine-protein kinase pim-2,['PIM2'],PIM2_HUMAN
Q86V86,PIM3,Serine/threonine-protein kinase pim-3,['PIM3'],PIM3_HUMAN
Q6P2M8,PNCK,Calcium/calmodulin-dependent protein kinase type 1B,['PNCK'],KCC1B_HUMAN
Q13131,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,"['PRKAA1', 'AMPK1']",AAPK1_HUMAN
P54646,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,"['PRKAA2', 'AMPK', 'AMPK2']",AAPK2_HUMAN
Q15139,PRKD1,Serine/threonine-protein kinase D1,"['PRKD1', 'PKD', 'PKD1', 'PRKCM']",KPCD1_HUMAN
Q9BZL6,PRKD2,Serine/threonine-protein kinase D2,"['PRKD2', 'PKD2', 'HSPC187']",KPCD2_HUMAN
O94806,PRKD3,Serine/threonine-protein kinase D3,"['PRKD3', 'EPK2', 'PRKCN']",KPCD3_HUMAN
P11801,PSKH1,Serine/threonine-protein kinase H1,['PSKH1'],KPSH1_HUMAN
Q96QS6,PSKH2,Serine/threonine-protein kinase H2,['PSKH2'],KPSH2_HUMAN
P57059,SIK1,Serine/threonine-protein kinase SIK1,"['SIK1', 'SIK', 'SNF1LK']",SIK1_HUMAN
A0A0B4J2F2,SIK1B,Probable serine/threonine-protein kinase SIK1B,['SIK1B'],SIK1B_HUMAN
Q9H0K1,SIK2,Serine/threonine-protein kinase SIK2,"['SIK2', 'KIAA0781', 'QIK', 'SNF1LK2']",SIK2_HUMAN
Q9Y2K2,SIK3,Serine/threonine-protein kinase SIK3,"['SIK3', 'KIAA0999', 'QSK', 'L19']",SIK3_HUMAN
Q9NRH2,SNRK,SNF-related serine/threonine-protein kinase,"['SNRK', 'KIAA0096', 'SNFRK']",SNRK_HUMAN
Q15772,SPEG,Striated muscle preferentially expressed protein kinase,"['SPEG', 'APEG1', 'KIAA1297']",SPEG_HUMAN
Q15831,STK11,Serine/threonine-protein kinase STK11,"['STK11', 'LKB1', 'PJS']",STK11_HUMAN
Q9UEE5,STK17A,Serine/threonine-protein kinase 17A,"['STK17A', 'DRAK1']",ST17A_HUMAN
O94768,STK17B,Serine/threonine-protein kinase 17B,"['STK17B', 'DRAK2']",ST17B_HUMAN
Q9BYT3,STK33,Serine/threonine-protein kinase 33,['STK33'],STK33_HUMAN
Q8N2I9,STK40,Serine/threonine-protein kinase 40,"['STK40', 'SGK495', 'SHIK']",STK40_HUMAN
Q96RU8,TRIB1,Tribbles homolog 1,"['TRIB1', 'C8FW', 'GIG2', 'TRB1']",TRIB1_HUMAN
Q92519,TRIB2,Tribbles homolog 2,"['TRIB2', 'TRB2']",TRIB2_HUMAN
Q96RU7,TRIB3,Tribbles homolog 3,"['TRIB3', 'C20orf97', 'NIPK', 'SKIP3', 'TRB3']",TRIB3_HUMAN
O75962,TRIO,Triple functional domain protein,['TRIO'],TRIO_HUMAN
Q9BXA7,TSSK1B,Testis-specific serine/threonine-protein kinase 1,"['TSSK1B', 'SPOGA1', 'SPOGA4', 'STK22A', 'STK22D', 'TSSK1', 'FKSG81']",TSSK1_HUMAN
Q96PF2,TSSK2,Testis-specific serine/threonine-protein kinase 2,"['TSSK2', 'DGSG', 'SPOGA2', 'STK22B']",TSSK2_HUMAN
Q96PN8,TSSK3,Testis-specific serine/threonine-protein kinase 3,"['TSSK3', 'SPOGA3', 'STK22C']",TSSK3_HUMAN
Q6SA08,TSSK4,Testis-specific serine/threonine-protein kinase 4,"['TSSK4', 'C14orf20', 'STK22E', 'TSSK5']",TSSK4_HUMAN
Q9BXA6,TSSK6,Testis-specific serine/threonine-protein kinase 6,"['TSSK6', 'SSTK', 'FKSG82']",TSSK6_HUMAN
Q8WZ42,TTN,Titin,['TTN'],TITIN_HUMAN
P48729,CSNK1A1,Casein kinase I isoform alpha,['CSNK1A1'],KC1A_HUMAN
Q8N752,CSNK1A1L,Casein kinase I isoform alpha-like,['CSNK1A1L'],KC1AL_HUMAN
P48730,CSNK1D,Casein kinase I isoform delta,"['CSNK1D', 'HCKID']",KC1D_HUMAN
P49674,CSNK1E,Casein kinase I isoform epsilon,['CSNK1E'],KC1E_HUMAN
Q9HCP0,CSNK1G1,Casein kinase I isoform gamma-1,['CSNK1G1'],KC1G1_HUMAN
P78368,CSNK1G2,Casein kinase I isoform gamma-2,"['CSNK1G2', 'CK1G2']",KC1G2_HUMAN
Q9Y6M4,CSNK1G3,Casein kinase I isoform gamma-3,['CSNK1G3'],KC1G3_HUMAN
Q5TCY1,TTBK1,Tau-tubulin kinase 1,"['TTBK1', 'BDTK', 'KIAA1855']",TTBK1_HUMAN
Q6IQ55,TTBK2,Tau-tubulin kinase 2,"['TTBK2', 'KIAA0847']",TTBK2_HUMAN
Q99986,VRK1,Serine/threonine-protein kinase VRK1,['VRK1'],VRK1_HUMAN
Q86Y07,VRK2,Serine/threonine-protein kinase VRK2,['VRK2'],VRK2_HUMAN
Q8IV63,VRK3,Inactive serine/threonine-protein kinase VRK3,['VRK3'],VRK3_HUMAN
P06493,CDK1,Cyclin-dependent kinase 1,"['CDK1', 'CDC2', 'CDC28A', 'CDKN1', 'P34CDC2']",CDK1_HUMAN
Q15131,CDK10,Cyclin-dependent kinase 10,['CDK10'],CDK10_HUMAN
Q9UQ88,CDK11A,Cyclin-dependent kinase 11A,"['CDK11A', 'CDC2L2', 'CDC2L3', 'PITSLREB']",CD11A_HUMAN
P21127,CDK11B,Cyclin-dependent kinase 11B,"['CDK11B', 'CDC2L1', 'CDK11', 'PITSLREA', 'PK58']",CD11B_HUMAN
Q9NYV4,CDK12,Cyclin-dependent kinase 12,"['CDK12', 'CRK7', 'CRKRS', 'KIAA0904']",CDK12_HUMAN
Q14004,CDK13,Cyclin-dependent kinase 13,"['CDK13', 'CDC2L', 'CDC2L5', 'CHED', 'KIAA1791']",CDK13_HUMAN
O94921,CDK14,Cyclin-dependent kinase 14,"['CDK14', 'KIAA0834', 'PFTK1']",CDK14_HUMAN
Q96Q40,CDK15,Cyclin-dependent kinase 15,"['CDK15', 'ALS2CR7', 'PFTK2']",CDK15_HUMAN
Q00536,CDK16,Cyclin-dependent kinase 16,"['CDK16', 'PCTAIRE1', 'PCTK1']",CDK16_HUMAN
Q00537,CDK17,Cyclin-dependent kinase 17,"['CDK17', 'PCTAIRE2', 'PCTK2']",CDK17_HUMAN
Q07002,CDK18,Cyclin-dependent kinase 18,"['CDK18', 'PCTAIRE3', 'PCTK3']",CDK18_HUMAN
Q9BWU1,CDK19,Cyclin-dependent kinase 19,"['CDK19', 'CDC2L6', 'CDK11', 'KIAA1028']",CDK19_HUMAN
P24941,CDK2,Cyclin-dependent kinase 2,"['CDK2', 'CDKN2']",CDK2_HUMAN
Q8IZL9,CDK20,Cyclin-dependent kinase 20,"['CDK20', 'CCRK', 'CDCH']",CDK20_HUMAN
Q00526,CDK3,Cyclin-dependent kinase 3,"['CDK3', 'CDKN3']",CDK3_HUMAN
P11802,CDK4,Cyclin-dependent kinase 4,['CDK4'],CDK4_HUMAN
Q00535,CDK5,Cyclin-dependent-like kinase 5,"['CDK5', 'CDKN5']",CDK5_HUMAN
Q00534,CDK6,Cyclin-dependent kinase 6,"['CDK6', 'CDKN6']",CDK6_HUMAN
P50613,CDK7,Cyclin-dependent kinase 7,"['CDK7', 'CAK', 'CAK1', 'CDKN7', 'MO15', 'STK1']",CDK7_HUMAN
P49336,CDK8,Cyclin-dependent kinase 8,['CDK8'],CDK8_HUMAN
P50750,CDK9,Cyclin-dependent kinase 9,"['CDK9', 'CDC2L4', 'TAK']",CDK9_HUMAN
Q00532,CDKL1,Cyclin-dependent kinase-like 1,['CDKL1'],CDKL1_HUMAN
Q92772,CDKL2,Cyclin-dependent kinase-like 2,['CDKL2'],CDKL2_HUMAN
Q8IVW4,CDKL3,Cyclin-dependent kinase-like 3,"['CDKL3', 'NKIAMRE']",CDKL3_HUMAN
Q5MAI5,CDKL4,Cyclin-dependent kinase-like 4,['CDKL4'],CDKL4_HUMAN
O76039,CDKL5,Cyclin-dependent kinase-like 5,"['CDKL5', 'STK9']",CDKL5_HUMAN
P49759,CLK1,Dual specificity protein kinase CLK1,"['CLK1', 'CLK']",CLK1_HUMAN
P49760,CLK2,Dual specificity protein kinase CLK2,['CLK2'],CLK2_HUMAN
P49761,CLK3,Dual specificity protein kinase CLK3,['CLK3'],CLK3_HUMAN
Q9HAZ1,CLK4,Dual specificity protein kinase CLK4,['CLK4'],CLK4_HUMAN
Q13627,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,"['DYRK1A', 'DYRK', 'MNB', 'MNBH']",DYR1A_HUMAN
Q9Y463,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,"['DYRK1B', 'MIRK']",DYR1B_HUMAN
Q92630,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2,['DYRK2'],DYRK2_HUMAN
O43781,DYRK3,Dual specificity tyrosine-phosphorylation-regulated kinase 3,['DYRK3'],DYRK3_HUMAN
Q9NR20,DYRK4,Dual specificity tyrosine-phosphorylation-regulated kinase 4,['DYRK4'],DYRK4_HUMAN
P49840,GSK3A,Glycogen synthase kinase-3 alpha,['GSK3A'],GSK3A_HUMAN
P49841,GSK3B,Glycogen synthase kinase-3 beta,['GSK3B'],GSK3B_HUMAN
Q86Z02,HIPK1,Homeodomain-interacting protein kinase 1,"['HIPK1', 'KIAA0630', 'MYAK', 'NBAK2']",HIPK1_HUMAN
Q9H2X6,HIPK2,Homeodomain-interacting protein kinase 2,['HIPK2'],HIPK2_HUMAN
Q9H422,HIPK3,Homeodomain-interacting protein kinase 3,"['HIPK3', 'DYRK6', 'FIST3', 'PKY']",HIPK3_HUMAN
Q8NE63,HIPK4,Homeodomain-interacting protein kinase 4,['HIPK4'],HIPK4_HUMAN
Q9UPZ9,ICK,Serine/threonine-protein kinase ICK,"['ICK', 'KIAA0936']",ICK_HUMAN
P20794,MAK,Serine/threonine-protein kinase MAK,['MAK'],MAK_HUMAN
P28482,MAPK1,Mitogen-activated protein kinase 1,"['MAPK1', 'ERK2', 'PRKM1', 'PRKM2']",MK01_HUMAN
P53779,MAPK10,Mitogen-activated protein kinase 10,"['MAPK10', 'JNK3', 'JNK3A', 'PRKM10', 'SAPK1B']",MK10_HUMAN
Q15759,MAPK11,Mitogen-activated protein kinase 11,"['MAPK11', 'PRKM11', 'SAPK2', 'SAPK2B']",MK11_HUMAN
P53778,MAPK12,Mitogen-activated protein kinase 12,"['MAPK12', 'ERK6', 'SAPK3']",MK12_HUMAN
O15264,MAPK13,Mitogen-activated protein kinase 13,"['MAPK13', 'PRKM13', 'SAPK4']",MK13_HUMAN
Q16539,MAPK14,Mitogen-activated protein kinase 14,"['MAPK14', 'CSBP', 'CSBP1', 'CSBP2', 'CSPB1', 'MXI2', 'SAPK2A']",MK14_HUMAN
Q8TD08,MAPK15,Mitogen-activated protein kinase 15,"['MAPK15', 'ERK7', 'ERK8']",MK15_HUMAN
P27361,MAPK3,Mitogen-activated protein kinase 3,"['MAPK3', 'ERK1', 'PRKM3']",MK03_HUMAN
P31152,MAPK4,Mitogen-activated protein kinase 4,"['MAPK4', 'ERK4', 'PRKM4']",MK04_HUMAN
Q16659,MAPK6,Mitogen-activated protein kinase 6,"['MAPK6', 'ERK3', 'PRKM6']",MK06_HUMAN
Q13164,MAPK7,Mitogen-activated protein kinase 7,"['MAPK7', 'BMK1', 'ERK5', 'PRKM7']",MK07_HUMAN
P45983,MAPK8,Mitogen-activated protein kinase 8,"['MAPK8', 'JNK1', 'PRKM8', 'SAPK1', 'SAPK1C']",MK08_HUMAN
P45984,MAPK9,Mitogen-activated protein kinase 9,"['MAPK9', 'JNK2', 'PRKM9', 'SAPK1A']",MK09_HUMAN
Q9UQ07,MOK,MAPK/MAK/MRK overlapping kinase,"['MOK', 'RAGE', 'RAGE1']",MOK_HUMAN
Q9UBE8,NLK,Serine/threonine-protein kinase NLK,"['NLK', 'LAK1']",NLK_HUMAN
Q13523,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,"['PRPF4B', 'KIAA0536', 'PRP4', 'PRP4H', 'PRP4K']",PRP4B_HUMAN
Q96SB4,SRPK1,SRSF protein kinase 1,['SRPK1'],SRPK1_HUMAN
P78362,SRPK2,SRSF protein kinase 2,['SRPK2'],SRPK2_HUMAN
Q9UPE1,SRPK3,SRSF protein kinase 3,"['SRPK3', 'MSSK1', 'STK23']",SRPK3_HUMAN
Q96PY6,NEK1,Serine/threonine-protein kinase Nek1,"['NEK1', 'KIAA1901']",NEK1_HUMAN
Q6ZWH5,NEK10,Serine/threonine-protein kinase Nek10,['NEK10'],NEK10_HUMAN
Q8NG66,NEK11,Serine/threonine-protein kinase Nek11,['NEK11'],NEK11_HUMAN
P51955,NEK2,Serine/threonine-protein kinase Nek2,"['NEK2', 'NEK2A', 'NLK1']",NEK2_HUMAN
P51956,NEK3,Serine/threonine-protein kinase Nek3,['NEK3'],NEK3_HUMAN
P51957,NEK4,Serine/threonine-protein kinase Nek4,"['NEK4', 'STK2']",NEK4_HUMAN
Q6P3R8,NEK5,Serine/threonine-protein kinase Nek5,['NEK5'],NEK5_HUMAN
Q9HC98,NEK6,Serine/threonine-protein kinase Nek6,['NEK6'],NEK6_HUMAN
Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,['NEK7'],NEK7_HUMAN
Q86SG6,NEK8,Serine/threonine-protein kinase Nek8,"['NEK8', 'JCK', 'NEK12A']",NEK8_HUMAN
Q8TD19,NEK9,Serine/threonine-protein kinase Nek9,"['NEK9', 'KIAA1995', 'NEK8', 'NERCC']",NEK9_HUMAN
P25092,GUCY2C,Heat-stable enterotoxin receptor,"['GUCY2C', 'GUC2C', 'STAR']",GUC2C_HUMAN
Q02846,GUCY2D,Retinal guanylyl cyclase 1,"['GUCY2D', 'CORD6', 'GUC1A4', 'GUC2D', 'RETGC', 'RETGC1']",GUC2D_HUMAN
P51841,GUCY2F,Retinal guanylyl cyclase 2,"['GUCY2F', 'GUC2F', 'RETGC2']",GUC2F_HUMAN
P16066,NPR1,Atrial natriuretic peptide receptor 1,"['NPR1', 'ANPRA']",ANPRA_HUMAN
P20594,NPR2,Atrial natriuretic peptide receptor 2,"['NPR2', 'ANPRB']",ANPRB_HUMAN
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,"['MAP2K1', 'MEK1', 'PRKMK1']",MP2K1_HUMAN
P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,"['MAP2K2', 'MEK2', 'MKK2', 'PRKMK2']",MP2K2_HUMAN
P46734,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3,"['MAP2K3', 'MEK3', 'MKK3', 'PRKMK3', 'SKK2']",MP2K3_HUMAN
P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4,"['MAP2K4', 'JNKK1', 'MEK4', 'MKK4', 'PRKMK4', 'SEK1', 'SERK1', 'SKK1']",MP2K4_HUMAN
