,Substrate,control_mean,AZ20_mean,AZ20_fold_change,AZ20_p-value,AZ20_ctrlCV,AZ20_treatCV,Phosphosite,Corrected P-Value,Hypothesis Rejected?,-Log10 Corrected P-Value
11246,RPS27,347156762.5,474040463.1,1.365493962,0.417964845,0.67574068,0.19838574,S78,0.010200904913385827,True,1.9913613006441357
1652,CALD1,82848986.8,105476978.3,1.273123334,0.8667398959999999,1.732050808,1.6281716769999999,S724,0.010200904913385827,True,1.9913613006441357
5100,HDGF,27222356944.0,28864481085.0,1.060322629,0.689968745,0.18736983,0.155382765,S132,0.010278372709923664,True,1.988075638165887
8058,NCOR2,334932048.5,483511313.0,1.443610175,0.122763249,0.262480722,0.234181873,S2068,0.010278372709923664,True,1.988075638165887
122,ACTA2,78019097.2,52859714.45,0.677522765,0.352063123,0.38380325600000004,0.5891428710000001,M229,0.010753349462686567,True,1.9684562402516064
7389,MICALL1,25019196141.0,22777628818.0,0.910406101,0.678921716,0.268562399,0.258215915,S295,0.010753349462686567,True,1.9684562402516064
2099,CDK12,1059392875.0,1063400806.0,1.0037832340000001,0.9706882509999999,0.116587304,0.12472276199999999,S333,0.010753349462686567,True,1.9684562402516064
1635,CABLES2,10332423.46,33404638.62,3.232991635,0.151683378,1.28548054,0.6104674370000001,S105,0.01108671774820144,True,1.955197008839989
8733,PABPC4,417015469.1,625386181.3,1.499671421,0.06869709,0.3245612,0.145125259,M72,0.01108671774820144,True,1.955197008839989
2503,CLASP1,1651674333.0,1665088027.0,1.00812127,0.965691271,0.206906493,0.23391186,S688,0.01108671774820144,True,1.955197008839989
199,ADH5,7670064.195,75864010.76,9.890922532000001,0.21988523399999998,1.034176636,1.132042027,None,0.01108671774820144,True,1.955197008839989
8125,NEK6,271881815.1,33118910.4,0.12181362800000001,0.000148314,0.152131102,0.78432847,S206,0.011090662628571427,True,1.955042505488789
7461,MKI67,273938873.3,515046638.6,1.880151701,0.105906605,0.789113877,0.074945606,S648,0.01116924014893617,True,1.9519763712307534
1545,C16orf72,323439246.7,393682338.0,1.2171755340000001,0.302074048,0.18311528300000002,0.228733441,S266,0.01126052177027027,True,1.9484414854438932
9006,PDAP1,518745040.9,88057591.16,0.16975119600000002,6.409999999999999e-05,0.11395453900000001,0.541222474,S176,0.01126052177027027,True,1.9484414854438932
1815,CC2D1A,730084451.3,768073908.5,1.052034333,0.646122548,0.023440421,0.175911907,T120,0.01126052177027027,True,1.9484414854438932
1543,C16orf59,136482264.2,193780331.6,1.419820609,0.139695354,0.400532809,0.10481769099999999,S125,0.01126052177027027,True,1.9484414854438932
1809,CBY3,10758256220.0,14100057466.0,1.310626665,0.016340697,0.14872455199999998,0.050663158,S150,0.01126052177027027,True,1.9484414854438932
3897,EPHX4,2562317706.0,1224234245.0,0.477783939,0.321680538,0.80350191,0.49509637,None,0.01126052177027027,True,1.9484414854438932
6225,KLHL22,3609266682.0,3453271485.0,0.9567792540000001,0.768566023,0.146324685,0.202941423,T605,0.01177909788,True,1.928887969374077
5505,HSPA8,10819164.39,17243339.58,1.593777389,0.49445234,0.963268971,0.649608725,M237,0.012457053298013245,True,1.9045846774008326
11530,SAMD4B,136843415.7,171985075.4,1.256801978,0.34724155,0.32915133399999996,0.22778357899999999,S628,0.0125378055,True,1.9017784716905457
3766,ELAC2,13936790.9,37522335.58,2.692322489,0.42162367,1.732050808,1.086314478,S208,0.014631212732484076,True,1.8347196751598733
1544,C16orf72,1533247134.0,1985154670.0,1.294738876,0.035463522000000004,0.17164219,0.060939775999999994,S167,0.014631212732484076,True,1.8347196751598733
2730,CREBBP,57302195.76,67387185.52,1.175996567,0.598681652,0.537886359,0.092710313,S2351,0.014991914850000001,True,1.824142893123863
3444,DUS27_HUMAN,420686538.2,1031258222.0,2.451369674,0.075059684,1.000141086,0.24687553899999998,S965,0.014991914850000001,True,1.824142893123863
2732,CREBZF,909522694.2,1093865756.0,1.202681101,0.24987496899999997,0.229395223,0.127027146,None,0.014991914850000001,True,1.824142893123863
2632,COBLL1,4398734308.0,3515341047.0,0.7991710340000001,0.123591021,0.121580539,0.18962842,S394,0.015318500185185184,True,1.8147837538407443
2120,CDK13,51855077.3,33524054.57,0.646495123,0.45257622200000003,0.6455013820000001,0.6276791979999999,S397,0.01606112112804878,True,1.7942241425734673
675,ARF3,178181989.8,102610138.3,0.57587267,0.502912689,0.914339585,0.8274044770000001,S147,0.01606112112804878,True,1.7942241425734673
4504,FOXP4,68562478.58,58142939.62,0.848028555,0.693867262,0.551480376,0.376260638,None,0.01625739289221557,True,1.7889490985516785
5085,HDAC2,14249883.36,23860010.98,1.67440044,0.49077770299999995,1.156525466,0.6533848529999999,S407,0.01674157152071006,True,1.7762037774814374
11563,SASH3,25578917.31,35788130.81,1.399126099,0.551132764,0.733926779,0.580899268,S142,0.01674157152071006,True,1.7762037774814374
2558,CLK1,192808348.2,197032649.1,1.0219093259999998,0.954388272,0.13198411599999998,0.609228294,T138,0.016747926088235294,True,1.7760389644002477
3779,ELMSAN1,78161359.26,151588931.9,1.9394357169999998,0.032716214,0.556562204,0.09918762199999999,T704,0.018299194335260116,True,1.7375680306768477
3780,ELOA,7709908844.0,9511199208.0,1.23363316,0.022048353,0.11996645199999999,0.044586582,S413,0.018299194335260116,True,1.7375680306768477
4436,FLNC,90189771.15,58177595.01,0.645057574,0.12632747800000002,0.328837001,0.169036114,S2233,0.0184032159375,True,1.7351062779757513
3424,DST,598830348.3,871376853.5,1.4551314169999998,0.13107756199999998,0.08741853,0.304069533,S1382,0.0184032159375,True,1.7351062779757513
6768,LTBP2,103854221.3,363613805.0,3.5011942730000003,0.275038584,0.587222106,1.01659782,S107,0.0184032159375,True,1.7351062779757513
488,AMPD2,2955505.028,2471130.983,0.836111243,0.839696193,1.04297597,1.0135005540000002,S168,0.018683285779661017,True,1.7285467431762047
9995,PRPF4B,5544317180.0,5207681505.0,0.939282753,0.634722747,0.20263286100000003,0.059629684,S93,0.018745841696629212,True,1.727095054789252
7206,MCM7,9916617.117,16812066.26,1.6953428830000001,0.49708792,1.005030741,0.784197267,M131,0.019374508999999998,True,1.7127692948238509
8139,NEO1,338928912.7,559547972.6,1.650930185,0.073333023,0.287469057,0.262614587,S1214,0.019374508999999998,True,1.7127692948238509
1886,CCDC88A,2844562023.0,2320500614.0,0.815767276,0.636390534,0.6338363920000001,0.11811176,None,0.02035156714516129,True,1.6914021428863888
8598,NUTF2,275706699.1,62123054.77,0.22532297899999998,0.01947143,0.412490459,0.437494381,None,0.02035156714516129,True,1.6914021428863888
5875,IWS1,3084482.613,7974358.25,2.5853147030000003,0.588154096,1.732050808,1.732050808,S82,0.02035156714516129,True,1.6914021428863888
2836,CTNND1,158778190.2,264181529.1,1.6638401580000002,0.09260068800000001,0.281402005,0.30157501800000003,S847,0.02035156714516129,True,1.6914021428863888
5008,GYS1,69297852.66,198798595.1,2.868755488,0.34377524600000003,0.858777659,1.05640047,S727,0.02035156714516129,True,1.6914021428863888
2290,CEP170B,503482622.3,821948258.3,1.6325255769999998,0.056727219,0.29023538,0.22281812,S492,0.020528647235294118,True,1.6876396681454175
4575,FXR1,24600713.23,37776891.02,1.535601455,0.572253578,0.897591811,0.825777786,S587,0.0209659395,True,1.6784856717520051
11443,RXRA,20610749.95,39607973.41,1.921714324,0.24041457600000002,0.482452001,0.586173101,S21,0.0209659395,True,1.6784856717520051
9172,PGK1,565921648.4,671283122.6,1.186176787,0.129844718,0.142439345,0.097894892,M29,0.0209659395,True,1.6784856717520051
5600,IFT80,197843544.1,437876716.0,2.2132474330000003,0.101173409,1.000017293,0.19150239800000002,S405,0.021216500335051545,True,1.6733262514677307
86,ACIN1,835389576.0,105583128.5,0.126387893,0.004037134,0.32322324199999997,0.699760655,S243,0.021216500335051545,True,1.6733262514677307
5595,IFI16,33409030.36,77579559.53,2.322113473,0.20018733,1.018830878,0.526403368,S153,0.021216500335051545,True,1.6733262514677307
11879,SH2B1,950391983.9,991227517.0,1.042967043,0.842812388,0.319152289,0.158492205,S126,0.021216500335051545,True,1.6733262514677307
5993,KCTD15,406533401.0,145324771.3,0.35747314,0.000334385,0.039223685,0.411492533,S38,0.021589777169230766,True,1.6657518400498768
3927,EPS8,90223911.71,145452759.6,1.61213094,0.38333818,0.965606107,0.361087251,S659,0.021761362203045684,True,1.6623139224504486
10107,PSD4,194109873.6,390910709.6,2.013863088,0.026396175,0.158253659,0.287380081,S1019,0.021761362203045684,True,1.6623139224504486
10521,RANBP9,411174372.3,255515199.8,0.621427835,0.008710696,0.132011024,0.175995918,S477,0.022172680166666663,True,1.6541818075060897
6484,LAT,603064394.3,622971297.9,1.033009582,0.840493006,0.174109583,0.202349781,S84,0.022706237864321605,True,1.6438548169081375
7545,MPDZ,988028033.5,890177049.8,0.900963353,0.21047278600000002,0.088619777,0.093631505,S1595,0.022715112750000002,True,1.643685103155703
823,ARHGEF18,18041664.27,17829553.12,0.98824326,0.986468232,0.819378553,0.819170532,S1124,0.024203264658415838,True,1.6161260502381873
10647,RBBP6,1994915004.0,2745906948.0,1.376453104,0.06219989099999999,0.23383917899999998,0.118499702,S770,0.024203264658415838,True,1.6161260502381873
4491,FOXK2,251728366.5,311323610.3,1.236744252,0.722814443,0.34803409799999996,0.846184182,S170,0.024999664088235295,True,1.602065826752199
622,APC,8328110.09,32748856.68,3.932327542,0.235091627,1.6993351140000001,0.878226953,S111,0.02511086909708738,True,1.6001382559235782
630,APC,356752225.8,588566824.0,1.649791596,0.05318375400000001,0.40552114100000003,0.14238821699999998,S2674,0.02511086909708738,True,1.6001382559235782
1090,ATXN1L,268832442.9,134935048.6,0.501929927,0.077385186,0.38801436100000003,0.233501892,T330,0.02522096648076923,True,1.5982382750499093
1091,ATXN2,6440665.371,7853536.805,1.21936731,0.8750325529999999,1.450037693,1.48020101,M615,0.02522096648076923,True,1.5982382750499093
8022,NCOA3,263490013.7,258204289.4,0.979939565,0.7991048690000001,0.106423338,0.077244047,Y574,0.025670651829383887,True,1.5905631035798042
4929,GSE1,626341361.2,453484921.6,0.724021995,0.160164335,0.286809374,0.113190625,S710,0.025670651829383887,True,1.5905631035798042
5517,HSPB8,199977944.5,391778194.2,1.959107016,0.043733746,0.614232395,0.11241008599999999,S57,0.025670651829383887,True,1.5905631035798042
6308,KRT17,102107376.7,177527678.9,1.738637155,0.054029104,0.198036973,0.28604309899999997,S32,0.025804176127358493,True,1.5883100024748233
10291,PUM1,458896282.1,452789805.7,0.986693123,0.899590882,0.011902793,0.17706879399999997,None,0.02594304636619718,True,1.5859790281614092
2862,CTSV,224903871.0,14171858.67,0.06301296,0.09373332,0.8131394470000001,1.001936105,None,0.025961043406542057,True,1.5856778566868752
4927,GSCR2_HUMAN,369271990.2,452414041.2,1.225151252,0.24914609899999998,0.279455832,0.101025437,S29,0.026200510241860465,True,1.5816902509296173
5088,HDAC4,6496724050.0,4505128987.0,0.693446259,0.474635763,0.6939830240000001,0.082004627,None,0.026727227239631335,True,1.573046093880534
10112,PSEN1,1004268301.0,1058301560.0,1.053803609,0.684874854,0.207287183,0.066133469,S43,0.026996661344036693,True,1.5686899413786364
3151,DGC14_HUMAN,239153824.2,268738843.4,1.123707071,0.686796085,0.37143690100000004,0.305948606,S292,0.02709794080821918,True,1.5670637102180596
6151,KIF1C,4014967027.0,3647934963.0,0.90858404,0.533360078,0.154253903,0.201881295,S494,0.0272780625,True,1.5641864798894949
3095,DDX54,323994.5703,764349.2787,2.359142247,0.61486138,1.732050808,1.732050808,S644,0.027717811493273542,True,1.5572410631625528
5743,IQSEC1,3317075754.0,3188205440.0,0.9611494209999999,0.626729714,0.122298473,0.049836892,S925,0.027717811493273542,True,1.5572410631625528
4255,FAM83B,47642562.85,57475523.74,1.206390259,0.5799019910000001,0.552823738,0.215949335,S543,0.027717811493273542,True,1.5572410631625528
4222,FAM208B,486674849.7,609419895.2,1.252211606,0.426305184,0.471949571,0.158575716,S1220,0.028634544174107143,True,1.5431097259170088
10309,PUS1,24091433.02,31249100.09,1.297104248,0.702279767,1.029826711,0.590132083,S420,0.028659712986666665,True,1.542728163168648
143,ACTG1,10108569615.0,6596289865.0,0.652544338,0.234146207,0.444758056,0.14728433300000002,None,0.02867191451101322,True,1.5425433069206813
142,ACTG1,469433391.8,566623984.0,1.207038089,0.38125561399999996,0.135583173,0.293716715,M305,0.02867191451101322,True,1.5425433069206813
2808,CTAGE5,354545731.7,301048686.3,0.8491110159999999,0.6312554029999999,0.486187136,0.20718821899999998,S635,0.02869430727510917,True,1.5422042553299515
5669,INCENP,356403047.2,146463043.6,0.410947787,0.280286632,0.543630546,1.6213464309999999,S143,0.02876342500862069,True,1.5411594015373806
2693,CPEB4,249666821.6,246683863.1,0.9880522429999999,0.962305925,0.38869177299999996,0.161159796,S255,0.02876342500862069,True,1.5411594015373806
253,AGAP1,286060800.3,158403329.8,0.553740078,0.300275613,0.19854187399999998,1.1781704640000001,S605,0.02890414534615384,True,1.5390398675598145
1848,CCDC43,38119712.14,20164104.6,0.528967914,0.50728689,1.029387031,1.00009205,M156,0.028966534267782427,True,1.538103463319428
9938,PRKDC,362277467.0,504206927.3,1.3917700469999998,0.13779385800000002,0.307546563,0.179726167,M2605,0.028966534267782427,True,1.538103463319428
12,AAK1,29833395.87,199868478.6,6.699488035,0.279794322,1.2681666409999999,1.22601002,S624,0.028966534267782427,True,1.538103463319428
9542,PMS2,393761656.3,463520577.7,1.17716027,0.622992216,0.37026148700000006,0.39280265200000003,S523,0.028966534267782427,True,1.538103463319428
6981,MAP4,2810871125.0,1645145122.0,0.585279456,0.48245776799999995,0.929797825,0.40596275,M278,0.029139005076923078,True,1.5355252808768998
9826,PPP6R3,3612061619.0,3793069361.0,1.0501120309999998,0.606658879,0.095867801,0.121782717,S617,0.029139005076923078,True,1.5355252808768998
11869,SGMS1,73508944567.0,19171080040.0,0.260799283,9.49e-07,0.059353607,0.084441982,S215,0.029139005076923078,True,1.5355252808768998
6407,L3MBTL3,2868539.8060000003,3639006.835,1.268592065,0.813751115,1.732050808,0.595763671,S670,0.029139005076923078,True,1.5355252808768998
9753,PPP1R13L,1217013523.0,1266816994.0,1.040922693,0.751399831,0.18544444,0.10200627300000001,S597,0.029139005076923078,True,1.5355252808768998
10461,RALGAPA1,647765995.3,785664866.7,1.212883777,0.096057335,0.12124242,0.11734028,T754,0.029139005076923078,True,1.5355252808768998
249,AFTPH,3532644.642,33105156.93,9.371210603,0.252770815,1.18808369,1.216485865,T291,0.03035494596385542,True,1.5177705358966262
750,ARHGAP29,1250348740.0,1658300557.0,1.326270427,0.048413077,0.17185144300000002,0.113811144,S1029,0.03035494596385542,True,1.5177705358966262
2824,CTNNAL1,56391194.37,85418774.42,1.514753773,0.027956796000000003,0.126183923,0.18641197199999998,S538,0.030633998090551184,True,1.5137963190487058
864,ARID1A,382940447.1,314534409.8,0.821366383,0.298523684,0.241666883,0.151678433,S1600,0.030633998090551184,True,1.5137963190487058
3468,DYNC1H1,797606674.0,904428711.7,1.133928215,0.770764395,0.28653425899999996,0.621620017,S4368,0.030633998090551184,True,1.5137963190487058
3193,DIDO1,252388484.7,83965527.28,0.33268367,0.021983252999999998,0.287499624,0.731507625,S1034,0.03068756225390625,True,1.5130376095064622
254,AGAP1,143439702.0,191994021.0,1.33849986,0.105264306,0.166670504,0.193131159,T836,0.03068756225390625,True,1.5130376095064622
785,ARHGDIA,25269406.47,12660038.46,0.501002605,0.43620467399999996,0.907122896,1.000015291,None,0.030700724488372095,True,1.5128513757413915
